MSFT (MICROSOFT CORP),46.26,-1.07,
Aug 11 2015 @ 11:59 ET,Bid,46.25,Ask,46.26,Size,38x6,Vol,8739000,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
15 Aug 36.00 (MSFT1514H36),10.45,0.0,10.20,10.40,0,42,15 Aug 36.00 (MSFT1514T36),0.0,0.0,0.0,0.38,0,0,
15 Aug 36.00 (MSFT1514H36-4),0.0,0.0,10.20,10.40,0,42,15 Aug 36.00 (MSFT1514T36-4),0.0,0.0,0.0,0.38,0,0,
15 Aug 36.00 (MSFT1514H36-8),10.67,0.0,10.00,10.45,0,42,15 Aug 36.00 (MSFT1514T36-8),0.0,0.0,0.0,0.38,0,0,
15 Aug 36.00 (MSFT1514H36-A),0.0,0.0,10.20,10.40,0,42,15 Aug 36.00 (MSFT1514T36-A),0.0,0.0,0.0,0.0,0,0,
15 Aug 36.00 (MSFT1514H36-B),0.0,0.0,10.20,10.40,0,42,15 Aug 36.00 (MSFT1514T36-B),0.0,0.0,0.0,0.38,0,0,
15 Aug 36.00 (MSFT1514H36-E),0.0,0.0,10.20,10.40,0,42,15 Aug 36.00 (MSFT1514T36-E),0.0,0.0,0.0,0.38,0,0,
15 Aug 36.00 (MSFT1514H36-I),10.45,0.0,10.15,10.40,0,42,15 Aug 36.00 (MSFT1514T36-I),0.0,0.0,0.0,0.38,0,0,
15 Aug 36.00 (MSFT1514H36-J),0.0,0.0,10.20,10.40,0,42,15 Aug 36.00 (MSFT1514T36-J),0.0,0.0,0.0,0.38,0,0,
15 Aug 36.00 (MSFT1514H36-O),0.0,0.0,10.20,10.40,0,42,15 Aug 36.00 (MSFT1514T36-O),0.0,0.0,0.0,0.38,0,0,
15 Aug 36.00 (MSFT1514H36-P),0.0,0.0,10.20,10.40,0,42,15 Aug 36.00 (MSFT1514T36-P),0.0,0.0,0.0,0.0,0,0,
15 Aug 36.00 (MSFT1514H36-S),0.0,0.0,10.00,10.70,0,42,15 Aug 36.00 (MSFT1514T36-S),0.0,0.0,0.0,0.38,0,0,
15 Aug 36.00 (MSFT1514H36-X),0.0,0.0,10.20,10.40,0,42,15 Aug 36.00 (MSFT1514T36-X),0.0,0.0,0.0,0.38,0,0,
15 Aug 36.00 (MSFT1514H36-Y),0.0,0.0,10.20,10.40,0,42,15 Aug 36.00 (MSFT1514T36-Y),0.0,0.0,0.0,0.38,0,0,
15 Aug 37.00 (MSFT1514H37),8.35,0.0,9.10,9.40,0,1,15 Aug 37.00 (MSFT1514T37),0.08,0.0,0.0,0.38,0,15,
15 Aug 37.00 (MSFT1514H37-4),0.0,0.0,9.10,9.40,0,1,15 Aug 37.00 (MSFT1514T37-4),0.09,0.0,0.0,0.38,0,15,
15 Aug 37.00 (MSFT1514H37-8),0.0,0.0,8.85,9.45,0,1,15 Aug 37.00 (MSFT1514T37-8),0.08,0.0,0.0,0.38,0,15,
15 Aug 37.00 (MSFT1514H37-A),0.0,0.0,8.85,9.45,0,1,15 Aug 37.00 (MSFT1514T37-A),0.0,0.0,0.0,0.0,0,15,
15 Aug 37.00 (MSFT1514H37-B),0.0,0.0,9.15,9.40,0,1,15 Aug 37.00 (MSFT1514T37-B),0.0,0.0,0.0,0.38,0,15,
15 Aug 37.00 (MSFT1514H37-E),0.0,0.0,9.15,9.40,0,1,15 Aug 37.00 (MSFT1514T37-E),0.0,0.0,0.0,0.38,0,15,
15 Aug 37.00 (MSFT1514H37-I),8.35,0.0,7.30,9.40,0,1,15 Aug 37.00 (MSFT1514T37-I),0.0,0.0,0.0,0.38,0,15,
15 Aug 37.00 (MSFT1514H37-J),0.0,0.0,9.15,9.40,0,1,15 Aug 37.00 (MSFT1514T37-J),0.0,0.0,0.0,0.38,0,15,
15 Aug 37.00 (MSFT1514H37-O),0.0,0.0,9.15,9.40,0,1,15 Aug 37.00 (MSFT1514T37-O),0.0,0.0,0.0,0.38,0,15,
15 Aug 37.00 (MSFT1514H37-P),0.0,0.0,8.75,9.45,0,1,15 Aug 37.00 (MSFT1514T37-P),0.0,0.0,0.0,0.0,0,15,
15 Aug 37.00 (MSFT1514H37-S),0.0,0.0,9.00,9.45,0,1,15 Aug 37.00 (MSFT1514T37-S),0.0,0.0,0.0,0.38,0,15,
15 Aug 37.00 (MSFT1514H37-X),0.0,0.0,9.15,9.40,0,1,15 Aug 37.00 (MSFT1514T37-X),0.0,0.0,0.0,0.38,0,15,
15 Aug 37.00 (MSFT1514H37-Y),0.0,0.0,9.15,9.40,0,1,15 Aug 37.00 (MSFT1514T37-Y),0.0,0.0,0.0,0.38,0,15,
15 Aug 37.50 (MSFT1514H37.5),0.0,0.0,8.70,8.95,0,0,15 Aug 37.50 (MSFT1514T37.5),0.0,0.0,0.0,0.38,0,0,
15 Aug 37.50 (MSFT1514H37.5-4),0.0,0.0,8.70,8.95,0,0,15 Aug 37.50 (MSFT1514T37.5-4),0.0,0.0,0.0,0.38,0,0,
15 Aug 37.50 (MSFT1514H37.5-8),0.0,0.0,8.45,8.95,0,0,15 Aug 37.50 (MSFT1514T37.5-8),0.0,0.0,0.0,0.38,0,0,
15 Aug 37.50 (MSFT1514H37.5-A),0.0,0.0,8.45,9.00,0,0,15 Aug 37.50 (MSFT1514T37.5-A),0.0,0.0,0.0,0.38,0,0,
15 Aug 37.50 (MSFT1514H37.5-B),0.0,0.0,8.70,8.95,0,0,15 Aug 37.50 (MSFT1514T37.5-B),0.0,0.0,0.0,0.38,0,0,
15 Aug 37.50 (MSFT1514H37.5-E),0.0,0.0,8.70,8.95,0,0,15 Aug 37.50 (MSFT1514T37.5-E),0.0,0.0,0.0,0.38,0,0,
15 Aug 37.50 (MSFT1514H37.5-I),0.0,0.0,6.85,8.95,0,0,15 Aug 37.50 (MSFT1514T37.5-I),0.0,0.0,0.0,0.38,0,0,
15 Aug 37.50 (MSFT1514H37.5-J),0.0,0.0,8.70,8.95,0,0,15 Aug 37.50 (MSFT1514T37.5-J),0.0,0.0,0.0,0.38,0,0,
15 Aug 37.50 (MSFT1514H37.5-O),0.0,0.0,8.70,8.95,0,0,15 Aug 37.50 (MSFT1514T37.5-O),0.0,0.0,0.0,0.38,0,0,
15 Aug 37.50 (MSFT1514H37.5-P),0.0,0.0,8.30,9.05,0,0,15 Aug 37.50 (MSFT1514T37.5-P),0.0,0.0,0.0,0.38,0,0,
15 Aug 37.50 (MSFT1514H37.5-S),0.0,0.0,8.70,9.00,0,0,15 Aug 37.50 (MSFT1514T37.5-S),0.0,0.0,0.0,0.38,0,0,
15 Aug 37.50 (MSFT1514H37.5-X),0.0,0.0,8.55,9.30,0,0,15 Aug 37.50 (MSFT1514T37.5-X),0.0,0.0,0.0,0.38,0,0,
15 Aug 37.50 (MSFT1514H37.5-Y),0.0,0.0,8.70,8.95,0,0,15 Aug 37.50 (MSFT1514T37.5-Y),0.0,0.0,0.0,0.38,0,0,
15 Aug 38.00 (MSFT1514H38),8.34,0.0,8.05,8.45,0,2,15 Aug 38.00 (MSFT1514T38),0.15,0.0,0.0,0.08,0,20,
