Date,Open,High,Low,Close,Volume,Adj Close
21/3/1983,35.88,36.12,35.25,36,510800,9
22/3/1983,34.88,35.88,34,34,328000,8.5
23/3/1983,34,35.25,33.88,34.88,427200,8.72
24/3/1983,34.88,35.12,34.62,35.12,393200,8.78
25/3/1983,35.62,36.25,35,35.5,210400,8.88
28/3/1983,35.38,36.12,34.62,34.75,494800,8.69
29/3/1983,34.38,35.38,33.38,33.75,778000,8.44
30/3/1983,34.62,35.25,33.88,35,417200,8.75
31/3/1983,36,38.25,33.25,33.5,642400,8.38
4/4/1983,33,33.38,32,33.12,772000,8.28
5/4/1983,33,33.88,32.62,32.62,603600,8.16
6/4/1983,31.88,32.25,31.25,31.5,1021200,7.88
7/4/1983,31.38,31.75,31,31.75,885600,7.94
8/4/1983,32.12,32.62,31.5,32.62,499200,8.16
11/4/1983,33.12,33.88,32.88,33.62,713600,8.41
12/4/1983,33.62,34.12,33.5,33.75,716000,8.44
13/4/1983,35.38,36.75,34.25,35.88,1886000,8.97
14/4/1983,36.12,37.75,36.12,37.75,1116800,9.44
15/4/1983,37.75,38.12,37.38,37.62,783600,9.41
18/4/1983,37.47,37.88,36.75,37,762800,9.25
19/4/1983,36.75,37,36,36.38,350400,9.09
20/4/1983,37.5,38.5,36.5,38.5,992000,9.62
21/4/1983,38,38.88,37.88,37.88,512000,9.47
22/4/1983,37.62,37.62,36.88,37,367600,9.25
25/4/1983,36.25,37.25,35.25,35.5,664400,8.88
26/4/1983,36.62,37.75,35.5,37.75,3200,9.44
27/4/1983,37.62,38.12,37,37.5,364000,9.38
28/4/1983,37.38,37.75,37,37.25,266800,9.31
29/4/1983,37.62,38,37.25,38,217200,9.5
2/5/1983,37.62,38,37.12,37.5,541200,9.38
3/5/1983,37.5,39.62,37.5,39.38,496000,9.84
4/5/1983,40.88,42,39.75,41.88,980400,10.47
5/5/1983,43.38,44.25,42.5,43.88,1366400,10.97
6/5/1983,44,46.38,43.75,45.88,775600,11.47
9/5/1983,45,45.5,44.62,45.25,804800,11.31
10/5/1983,45.25,45.75,45.25,45.75,870800,11.44
11/5/1983,45.5,45.75,45,45.12,370800,11.28
12/5/1983,45,45.12,43.5,43.88,385200,10.97
13/5/1983,43.88,46.38,43.88,46.12,390400,11.53
16/5/1983,45.62,45.88,45,45.25,588000,11.31
17/5/1983,45.5,45.88,45,45.25,324400,11.31
18/5/1983,45,45.88,45,45.38,433200,11.34
19/5/1983,45.12,45.5,44.5,44.75,392800,11.19
20/5/1983,45.5,47,45.5,47,617200,11.75
23/5/1983,47.88,48,46.88,47.88,452000,11.97
24/5/1983,48.5,50.62,48.25,50.38,967200,12.59
25/5/1983,51.88,53,51.5,52.38,1001200,13.09
26/5/1983,52.38,52.38,49.75,50,944400,12.5
27/5/1983,50.12,50.38,49.25,49.62,317200,12.41
31/5/1983,48.5,48.88,48.38,48.5,523600,12.12
1/6/1983,48.62,50.5,48.62,50.5,830800,12.62
2/6/1983,50.88,52.5,50.12,52.38,608000,13.09
3/6/1983,52.5,54,52.38,53.62,537200,13.41
6/6/1983,53.5,54.62,53.12,54.5,552000,13.62
7/6/1983,54.25,54.5,52.88,52.88,438800,13.22
8/6/1983,52.25,53.12,52.12,52.75,452800,13.19
9/6/1983,52.75,53,51.88,52.38,252800,13.09
10/6/1983,52.5,53,52.25,52.25,76800,13.06
13/6/1983,52.5,52.62,51,51.62,209200,12.91
14/6/1983,51.38,51.75,50.62,50.62,204000,12.66
15/6/1983,50.62,52.25,50.38,52.25,304800,13.06
16/6/1983,53,55.25,53,54.62,292400,13.66
17/6/1983,54.75,55.12,54.12,54.62,109200,13.66
20/6/1983,54.5,54.62,53.62,53.88,178800,13.47
21/6/1983,54,54.25,52.38,54,333600,13.5
22/6/1983,58.88,59.25,58.38,58.62,1033600,14.66
23/6/1983,59,66.62,58.75,63.25,1108400,15.81
24/6/1983,63.5,64.25,62,64.25,683200,16.06
27/6/1983,64.25,64.88,61.5,64.5,584800,16.12
28/6/1983,64.5,66.5,61,61,1028400,15.25
29/6/1983,62.25,63.5,61,63.38,1016800,15.84
30/6/1983,63.75,64.88,63.62,64.5,618400,16.12
1/7/1983,64.75,64.75,63.62,64.62,177600,16.16
5/7/1983,63.75,63.75,61.88,63.12,486000,15.78
6/7/1983,62.88,63.75,62.62,63.62,338000,15.91
7/7/1983,63.62,64.75,63.12,64.25,284800,16.06
8/7/1983,64.25,64.5,63.5,63.5,504000,15.88
11/7/1983,63.25,64.88,63.25,64.88,459600,16.22
12/7/1983,65.12,65.62,63.25,63.62,347200,15.91
13/7/1983,62.75,63,59.12,61.75,536400,15.44
14/7/1983,61.75,61.94,58.88,59,760800,14.75
15/7/1983,59,59.25,57,57.75,417200,14.44
18/7/1983,57.25,57.25,55.75,56.12,562800,14.03
19/7/1983,56.75,59.25,56.75,58.88,430400,14.72
20/7/1983,60.25,63,60,63,392400,15.75
21/7/1983,66,69.75,65.62,67.88,1458800,16.97
22/7/1983,66.06,67.62,64.5,65.12,471200,16.28
25/7/1983,64.62,65.88,64.5,65.88,290400,16.47
26/7/1983,65.88,67.38,65.62,66.25,506000,16.56
