Date,Open,High,Low,Close,Volume,Adj Close
19/3/1991,13.5,13.5,13,13,47992000,0.81
20/3/1991,13,13.5,13,13.5,29764800,0.84
21/3/1991,14,14.25,13.5,13.5,27073600,0.84
22/3/1991,13.5,14,13.5,13.75,9083200,0.86
25/3/1991,13.88,14,13.38,13.75,4843200,0.86
26/3/1991,13.75,13.88,13.38,13.75,7195200,0.86
27/3/1991,13.75,14.12,13.75,14,5963200,0.88
28/3/1991,14,14.38,13.75,14.12,6537600,0.88
1/4/1991,14.12,14.38,13.62,13.62,3073600,0.85
2/4/1991,14,14.62,13.75,14.5,6169600,0.91
3/4/1991,14.5,14.75,14.12,14.25,4296000,0.89
4/4/1991,14.12,14.88,14.12,14.62,2545600,0.91
5/4/1991,14.75,14.75,14.38,14.5,1548800,0.91
8/4/1991,14.38,14.75,14.25,14.62,2500800,0.91
9/4/1991,14.62,15.38,14.62,15.25,2748800,0.95
10/4/1991,15.5,16.75,15.5,16.5,10876800,1.03
11/4/1991,16.5,17,16.25,17,6934400,1.06
12/4/1991,16.75,17.62,16.75,17.12,4702400,1.07
15/4/1991,17.5,18,17.38,17.62,2616000,1.1
16/4/1991,17.62,17.62,16.62,17,4556800,1.06
17/4/1991,17.12,17.5,17.12,17.25,9228800,1.08
18/4/1991,17.12,17.38,16.5,16.75,4539200,1.05
19/4/1991,16.62,17,16.62,16.62,2113600,1.04
22/4/1991,16.5,16.5,15.12,15.75,2520000,0.98
23/4/1991,15.88,16.12,15.38,15.5,2438400,0.97
24/4/1991,15.75,16,15.5,15.75,2131200,0.98
25/4/1991,15.62,15.88,15.5,15.62,1084800,0.98
26/4/1991,15.5,15.75,15.38,15.5,1918400,0.97
29/4/1991,15.5,15.88,15.5,15.5,819200,0.97
30/4/1991,15.5,15.75,14.38,14.62,1825600,0.91
1/5/1991,14.38,15,14.12,15,2961600,0.94
2/5/1991,15.12,15.5,15,15.25,3056000,0.95
3/5/1991,15.25,15.38,15.12,15.25,982400,0.95
6/5/1991,15.38,15.38,15.12,15.38,1299200,0.96
7/5/1991,15.12,15.62,15.12,15.38,1105600,0.96
8/5/1991,15.38,16.38,15.38,16.12,6984000,1.01
9/5/1991,16.62,17.12,16.5,16.62,6627200,1.04
10/5/1991,16.88,16.88,16.12,16.12,2827200,1.01
13/5/1991,16,16.38,16,16.25,350400,1.02
14/5/1991,16,16.38,16,16.25,499200,1.02
15/5/1991,16.12,16.12,14.88,15,2041600,0.94
16/5/1991,15.5,15.75,15.38,15.5,4160000,0.97
17/5/1991,15.75,15.75,15.25,15.38,163200,0.96
20/5/1991,15.62,15.62,14.62,15,4571200,0.94
21/5/1991,15,15.25,14.88,14.88,1440000,0.93
22/5/1991,15,16,14.88,15.62,1769600,0.98
23/5/1991,16.12,16.25,15.88,16.12,1436800,1.01
24/5/1991,16.12,16.62,15.88,16.25,980800,1.02
28/5/1991,16.62,16.88,16.5,16.75,1008000,1.05
29/5/1991,16.5,17,16.5,17,1041600,1.06
30/5/1991,16.88,17,16.5,16.62,1235200,1.04
31/5/1991,16.5,16.75,16.38,16.62,889600,1.04
3/6/1991,16.75,16.75,16.5,16.5,1808000,1.03
4/6/1991,16.75,18.88,16.75,17.88,11489600,1.12
5/6/1991,18,18,17.12,17.12,2089600,1.07
6/6/1991,17.38,17.5,16.75,16.75,689600,1.05
7/6/1991,16.62,16.62,16.38,16.62,1308800,1.04
10/6/1991,16.62,16.62,16.25,16.5,624000,1.03
11/6/1991,16.12,16.5,16.12,16.12,920000,1.01
12/6/1991,16.12,16.12,14.5,14.5,2860800,0.91
13/6/1991,14.62,15.62,14.5,15.62,2788800,0.98
14/6/1991,15.62,15.88,15.25,15.62,686400,0.98
17/6/1991,14.62,14.62,12.62,12.75,15280000,0.8
18/6/1991,12.88,13.12,12.5,12.75,5310400,0.8
19/6/1991,12.12,12.5,11.75,12.5,13324800,0.78
20/6/1991,12.12,12.38,12,12.12,5718400,0.76
21/6/1991,12,12.25,12,12,564800,0.75
24/6/1991,11.88,11.88,11.38,11.38,1564800,0.71
25/6/1991,11.75,11.75,10.88,11.12,6475200,0.7
26/6/1991,11.12,11.62,10.88,11.62,10940800,0.73
27/6/1991,11.62,11.75,11.62,11.62,328000,0.73
28/6/1991,11.75,12.38,11.62,12.38,5584000,0.77
1/7/1991,12.62,12.88,12.38,12.75,7348800,0.8
2/7/1991,12.5,12.75,12.25,12.25,2177600,0.77
3/7/1991,12.25,12.38,12.12,12.12,219200,0.76
5/7/1991,12,12.12,11.75,12.12,230400,0.76
8/7/1991,11.75,12.5,11.62,12.5,872000,0.78
9/7/1991,12.5,13.5,12.38,13.5,6769600,0.84
10/7/1991,13.5,13.5,13.12,13.38,1142400,0.84
11/7/1991,13.25,13.38,13.25,13.38,200000,0.84
12/7/1991,13.38,14.25,13.25,14.12,7897600,0.88
15/7/1991,14.5,15,14.25,14.88,2051200,0.93
16/7/1991,15.12,15.12,14.12,14.38,3064000,0.9
17/7/1991,14.38,14.62,14.25,14.25,3590400,0.89
18/7/1991,14.5,14.5,14.12,14.38,876800,0.9
19/7/1991,14.62,14.88,14.5,14.75,1092800,0.92
22/7/1991,14.75,14.88,14.5,14.62,2153600,0.91
23/7/1991,14.62,14.62,12.75,12.75,2470400,0.8
24/7/1991,13.12,13.12,12.25,13,1809600,0.81
25/7/1991,12.62,13,12.62,13,2158400,0.81
26/7/1991,13,13,12.75,13,1187200,0.81
29/7/1991,13,13,12.5,12.88,1094400,0.8
30/7/1991,12.88,13,12.5,12.75,952000,0.8
31/7/1991,12.75,12.88,12.5,12.5,1454400,0.78
1/8/1991,12.5,12.88,12.38,12.75,1411200,0.8
2/8/1991,12.62,12.75,12.5,12.5,888000,0.78
5/8/1991,12.62,12.62,12.25,12.38,2252800,0.77
6/8/1991,12.38,12.38,12,12,953600,0.75
7/8/1991,12,12.12,11.5,11.75,1990400,0.73
8/8/1991,11.75,12,11.5,12,14011200,0.75
9/8/1991,12,13.12,11.75,13.12,5560000,0.82
12/8/1991,13.12,13.25,13,13.12,1644800,0.82
13/8/1991,13.38,14,13.12,13.75,2691200,0.86
14/8/1991,14,14.12,13.75,14,1211200,0.88
15/8/1991,13.88,14,13.12,13.38,980800,0.84
16/8/1991,13.38,13.38,12.88,13.12,315200,0.82
19/8/1991,12.5,13.12,12.38,13.12,1108800,0.82
20/8/1991,13.12,13.12,12.38,12.38,1512000,0.77
21/8/1991,13,13.12,12.75,13.12,1563200,0.82
22/8/1991,13.12,13.75,13,13.75,3449600,0.86
23/8/1991,13.62,13.88,13.38,13.5,3022400,0.84
26/8/1991,13.75,13.75,13.12,13.38,2027200,0.84
27/8/1991,13.12,13.62,13.12,13.12,1246400,0.82
28/8/1991,13.25,13.62,13.25,13.38,2070400,0.84
