Date,Open,High,Low,Close,Volume,Adj Close
19/9/2014,92.7,99.7,89.95,93.89,271879400,93.89
22/9/2014,92.7,92.95,89.5,89.89,66657800,89.89
23/9/2014,88.94,90.48,86.62,87.17,39009800,87.17
24/9/2014,88.47,90.57,87.22,90.57,32088000,90.57
25/9/2014,91.09,91.5,88.5,88.92,28598000,88.92
26/9/2014,89.73,90.46,88.66,90.46,18340000,90.46
29/9/2014,89.62,89.7,88.02,88.75,25302000,88.75
30/9/2014,89,90.88,88.46,88.85,24419400,88.85
1/10/2014,88.7,88.94,86.04,86.1,24029600,86.1
2/10/2014,86.27,88.2,85.61,87.06,21469700,87.06
3/10/2014,88.1,89.94,87.65,88.1,18485700,88.1
6/10/2014,89.15,89.65,88.06,88.31,9268400,88.31
7/10/2014,87.95,89.7,87.06,87.67,12791700,87.67
8/10/2014,88,88.5,87.06,88.3,10252600,88.3
9/10/2014,88.51,90.35,88,88.79,21483500,88.79
10/10/2014,88.25,88.74,85.24,85.88,15406100,85.88
13/10/2014,86.85,86.89,84.92,85.12,14812100,85.12
14/10/2014,85.81,85.88,83.22,84.95,15559200,84.95
15/10/2014,84.04,86.49,82.81,85.6,16807300,85.6
16/10/2014,84.98,89.18,84.01,88.85,15199300,88.85
17/10/2014,90.4,90.9,87.67,87.91,17323200,87.91
20/10/2014,88,89.5,87.86,88.26,9845300,88.26
21/10/2014,89.1,92.5,88.5,90.9,23181500,90.9
22/10/2014,92.25,93.5,91.01,91.63,20312500,91.63
23/10/2014,92.92,94.7,92.82,94.45,20544200,94.45
24/10/2014,95.07,98,94.78,95.76,32099300,95.76
27/10/2014,97,98.85,96.3,97.79,28218200,97.79
28/10/2014,99.84,100.67,98.61,99.68,32003600,99.68
29/10/2014,99.88,100,96.82,98.31,28601700,98.31
30/10/2014,98.48,99.44,97.3,98.73,15439900,98.73
31/10/2014,100.1,100.22,98.14,98.6,18065500,98.6
3/11/2014,99.67,102.8,99.05,101.8,40571000,101.8
4/11/2014,100.43,106.36,99.51,106.07,67686200,106.07
5/11/2014,108.48,110.14,106.48,108.67,48235700,108.67
6/11/2014,109.3,111.7,107.21,111.57,33400600,111.57
7/11/2014,112.93,114.77,111.75,114.56,51315800,114.56
10/11/2014,117.27,119.45,115.2,119.15,75421700,119.15
11/11/2014,117.25,117.55,113.69,114.54,70983600,114.54
12/11/2014,115.05,119.07,114.02,118.2,53778200,118.2
13/11/2014,119.3,120,114.55,114.84,62112400,114.84
14/11/2014,115.06,115.39,113.35,115.1,29798800,115.1
17/11/2014,115.44,115.63,113.13,114.25,22535100,114.25
18/11/2014,114.33,114.38,110.41,110.81,41041900,110.81
19/11/2014,109.83,110.68,107.22,108.82,46800000,108.82
20/11/2014,107.81,112.44,107.26,109.82,36425000,109.82
21/11/2014,113.21,113.5,110.43,110.73,27404200,110.73
24/11/2014,112,113.93,111.55,113.92,20581800,113.92
25/11/2014,114.94,115.17,112.33,113.47,23450900,113.47
26/11/2014,113.33,113.74,112.33,112.67,11794700,112.67
28/11/2014,113.14,113.23,111.11,111.64,8077800,111.64
1/12/2014,110.02,110.05,103.9,105.99,38367700,105.99
2/12/2014,107.35,110,106.61,109.89,18651700,109.89
3/12/2014,110.4,111.68,108.8,110.64,16130600,110.64
4/12/2014,110.1,110.5,108.91,109.17,10779300,109.17
5/12/2014,109.6,110.35,107.76,107.9,12100500,107.9
