Date,Open,High,Low,Close,Volume,Adj Close
4/2/1999,12.87,13,11.37,11.55,16788600,1.92
5/2/1999,11.58,11.69,10.94,11,3053400,1.83
8/2/1999,11.13,11.56,10.7,10.88,1548000,1.81
9/2/1999,10.94,11,9.94,10,3501600,1.67
10/2/1999,10.25,10.25,9.63,10.06,1597200,1.68
11/2/1999,10.25,11.19,10.06,10.88,9979800,1.81
12/2/1999,10.88,10.94,10.56,10.69,707400,1.78
16/2/1999,10.62,10.62,10.06,10.25,3012600,1.71
17/2/1999,10.06,10.56,10,10.25,812400,1.71
18/2/1999,10.25,10.31,9.75,10,1894800,1.67
19/2/1999,10.12,10.12,9.81,9.87,689400,1.65
22/2/1999,10,10.25,9.87,10.25,618000,1.71
23/2/1999,10.19,10.44,9.87,10.19,831600,1.7
24/2/1999,10.31,10.31,10,10.06,1954200,1.68
25/2/1999,10.12,10.12,9.25,9.38,1496400,1.56
26/2/1999,9.25,9.5,8.75,8.88,1128600,1.48
1/3/1999,9,9,8,8.5,2135400,1.42
2/3/1999,8.56,8.56,7.55,7.62,1562400,1.27
3/3/1999,7.75,7.75,6.84,7.69,6219000,1.28
4/3/1999,7.94,8.06,7.62,7.81,2270400,1.3
5/3/1999,8.13,8.25,7.75,7.88,1644000,1.31
8/3/1999,7.94,7.94,7.75,7.8,1770600,1.3
9/3/1999,7.81,8,7.75,8,2763600,1.33
10/3/1999,8.25,9.19,8.25,8.69,6318000,1.45
11/3/1999,9,9,8.31,8.37,1645200,1.4
12/3/1999,8.31,8.44,8.13,8.19,1183200,1.36
15/3/1999,8.37,8.37,8.19,8.31,451800,1.39
16/3/1999,8.37,8.56,8.25,8.44,1924800,1.41
17/3/1999,8.44,8.75,8.31,8.37,671400,1.4
18/3/1999,8.37,8.69,8.37,8.69,1360800,1.45
19/3/1999,8.75,8.81,8.25,8.5,1739400,1.42
22/3/1999,8.5,9.44,8.44,9.25,4242000,1.54
23/3/1999,9.38,9.38,8.88,8.94,1895400,1.49
24/3/1999,9,9.06,8.75,8.94,1912200,1.49
25/3/1999,9,9.31,8.94,9.31,1947000,1.55
26/3/1999,9.38,9.38,9.12,9.14,244200,1.52
29/3/1999,9.25,10.12,9.25,9.94,1697400,1.66
30/3/1999,9.94,10,9.75,9.87,2640000,1.65
31/3/1999,10,10.56,9.81,10.5,1135200,1.75
1/4/1999,10.5,10.69,9.94,10.25,3203400,1.71
5/4/1999,10.25,10.81,10.25,10.81,1033800,1.8
6/4/1999,10.75,10.75,10.38,10.5,264600,1.75
7/4/1999,10.5,11.44,10.5,11.31,4690800,1.89
8/4/1999,11.44,12.19,11.44,11.69,4153800,1.95
9/4/1999,11.62,11.88,11,11.75,1606200,1.96
12/4/1999,11.44,12,11,11.75,1401000,1.96
