Date,Open,High,Low,Close,Volume,Adj Close
26/3/1990,23.75,24.25,23.5,24.25,41702400,0.08
27/3/1990,24,24.75,23.75,24.75,15926400,0.08
28/3/1990,24.75,24.75,24.5,24.5,9792000,0.08
29/3/1990,24.5,24.5,24,24.5,16272000,0.08
30/3/1990,24,24,23,23.5,28742400,0.07
2/4/1990,22.75,23.25,22.25,23,15868800,0.07
3/4/1990,22.75,23.5,22.75,23.25,8352000,0.07
4/4/1990,23.25,23.5,23.25,23.25,14284800,0.07
5/4/1990,23.5,23.5,23,23.13,8323200,0.07
6/4/1990,23,23.25,22.75,22.75,10771200,0.07
9/4/1990,23,23,22.5,22.5,6681600,0.07
10/4/1990,22.5,23,21.5,22,34790400,0.07
11/4/1990,22,22.25,21.75,22,24796800,0.07
12/4/1990,22.25,22.25,21.75,22.25,13161600,0.07
16/4/1990,22.25,22.5,22,22.25,5616000,0.07
17/4/1990,22,22.5,21.75,22.5,6566400,0.07
18/4/1990,22.5,23,22.25,22.75,24480000,0.07
19/4/1990,22.5,23,22.5,23,25142400,0.07
20/4/1990,23,23,22.25,22.25,8755200,0.07
23/4/1990,22.25,22.75,22,22.5,5356800,0.07
24/4/1990,23,23,22.75,22.88,10281600,0.07
25/4/1990,23,23.25,23,23,6768000,0.07
26/4/1990,23,23.5,23,23,10713600,0.07
27/4/1990,23,23.25,22.75,22.75,4204800,0.07
30/4/1990,23.25,24.25,23,23.75,34329600,0.08
1/5/1990,24.25,24.25,23.75,24.13,28771200,0.08
2/5/1990,24,24.25,23.75,23.75,3139200,0.08
3/5/1990,24.25,24.5,24,24.5,7228800,0.08
4/5/1990,24.25,24.75,24.25,24.75,5702400,0.08
7/5/1990,24.75,25.5,24.75,25,13536000,0.08
8/5/1990,25.5,25.5,24.75,25.25,14486400,0.08
9/5/1990,25.25,25.25,24.5,24.75,9676800,0.08
10/5/1990,25,25,24.5,24.5,2793600,0.08
11/5/1990,25.5,25.75,24.5,24.75,29923200,0.08
14/5/1990,25.25,25.25,24.75,24.75,15235200,0.08
15/5/1990,25.25,25.25,24.75,24.87,24134400,0.08
16/5/1990,25.25,25.25,24.5,24.75,18720000,0.08
17/5/1990,25,25,24.75,25,6595200,0.08
18/5/1990,24.75,25,24.25,24.5,45417600,0.08
21/5/1990,24.25,25,24.25,24.5,4032000,0.08
22/5/1990,24.5,24.75,24.5,24.5,22982400,0.08
23/5/1990,24.5,24.75,24.25,24.25,39715200,0.08
24/5/1990,24.75,24.75,24.25,24.75,8121600,0.08
25/5/1990,24,24.5,23.75,24,4003200,0.08
29/5/1990,24,24.5,23.5,23.75,20707200,0.08
30/5/1990,24,24,23.25,23.5,96278400,0.07
31/5/1990,23.25,25,23.25,24.75,102988800,0.08
1/6/1990,24.75,25.5,24.5,25,103132800,0.08
4/6/1990,25.25,25.75,24.75,25.75,48499200,0.08
5/6/1990,25.5,27,25.5,26.75,56131200,0.08
6/6/1990,26.75,26.75,26,26.5,23241600,0.08
7/6/1990,26.75,26.75,25.5,25.75,18144000,0.08
8/6/1990,26,26,25,25.25,6566400,0.08
11/6/1990,24.5,25.25,24.5,25.13,3686400,0.08
12/6/1990,25.25,28,25,27.5,133401600,0.09
13/6/1990,28,28,27.75,27.75,52099200,0.09
14/6/1990,28,28.25,27.5,28,54374400,0.09
15/6/1990,27.5,28,27.5,27.5,6537600,0.09
18/6/1990,28,28,26.5,27,11923200,0.09
19/6/1990,26,26.75,26,26.75,20851200,0.08
20/6/1990,26.75,27.25,26.5,27,30124800,0.09
21/6/1990,26.75,27.25,26.5,27.25,9936000,0.09
22/6/1990,27.25,27.25,26.75,27.25,806400,0.09
25/6/1990,27.25,27.25,26.75,26.88,3600000,0.09
26/6/1990,26.75,27,26,26.5,4665600,0.08
27/6/1990,26.75,26.75,26,26.5,3801600,0.08
28/6/1990,26,26.5,25,26.25,153648000,0.08
29/6/1990,26.25,26.5,26,26.5,48268800,0.08
2/7/1990,26.5,27,26,26.75,38131200,0.08
3/7/1990,26.5,27,26.5,26.75,2851200,0.08
5/7/1990,26.5,26.5,26,26.38,6508800,0.08
6/7/1990,26,26.38,26,26.38,2476800,0.08
9/7/1990,26.38,26.5,26,26.25,14630400,0.08
10/7/1990,26.75,27,26.25,27,41529600,0.09
11/7/1990,27,27.75,26.75,27.5,32515200,0.09
12/7/1990,27.75,28.75,27.5,28.75,16617600,0.09
13/7/1990,28.25,30.25,28.25,30.25,46627200,0.1
16/7/1990,30,30.25,29,29.5,79977600,0.09
17/7/1990,29.25,29.5,27.25,28,42019200,0.09
18/7/1990,27.25,28.75,27.25,28.5,23529600,0.09
19/7/1990,28.25,28.75,28,28,25804800,0.09
20/7/1990,28.25,28.25,27.75,28,60192000,0.09
23/7/1990,28,28,26.25,26.25,35913600,0.08
24/7/1990,26.5,26.5,23.75,24.75,51264000,0.08
25/7/1990,24.25,25.75,24.25,25.5,43718400,0.08
26/7/1990,25.5,26.25,25.5,26,17740800,0.08
27/7/1990,26.25,26.25,25.75,25.75,8841600,0.08
30/7/1990,25.75,26,25.25,26,17856000,0.08
31/7/1990,26,26,25.5,25.5,9331200,0.08
1/8/1990,25.5,25.5,25,25.5,8409600,0.08
2/8/1990,25.25,25.25,24.25,25,6163200,0.08
3/8/1990,24.75,24.75,23,24.25,54460800,0.08
6/8/1990,24.25,24.5,22.75,24,62150400,0.08
7/8/1990,24.5,25,24,24.38,36115200,0.08
8/8/1990,24.5,24.75,24,24,21916800,0.08
9/8/1990,24.25,25.5,24,25.25,50803200,0.08
10/8/1990,25,25.5,23.75,24,35193600,0.08
13/8/1990,23.5,23.75,23,23.62,12931200,0.07
14/8/1990,23.25,23.75,23.25,23.25,21945600,0.07
15/8/1990,23.75,23.75,23.25,23.75,35856000,0.08
16/8/1990,23.37,23.75,23.25,23.25,21744000,0.07
17/8/1990,23.5,24.75,23,24.75,88185600,0.08
20/8/1990,24.75,25.5,24.5,24.75,45417600,0.08
21/8/1990,24.25,24.5,23.25,23.5,36720000,0.07
22/8/1990,24.25,24.5,24,24.25,26409600,0.08
23/8/1990,23,23.5,22,22.5,56678400,0.07
24/8/1990,23,24,22.75,23.75,59011200,0.08
27/8/1990,24.5,25.5,24.5,25.25,36720000,0.08
28/8/1990,25,25.25,24.75,25,19843200,0.08
29/8/1990,24.75,25,24,24.75,49737600,0.08
30/8/1990,24.75,25.13,24.25,24.75,45590400,0.08
31/8/1990,24.75,25.25,24.75,24.75,12182400,0.08
4/9/1990,24.75,25.25,24.5,24.75,26236800,0.08
5/9/1990,25.25,25.25,24.75,25,36720000,0.08
6/9/1990,24.75,25,24,24.25,37209600,0.08
7/9/1990,24.5,25,24.25,25,16300800,0.08
10/9/1990,25,25.25,24.5,24.75,40204800,0.08
11/9/1990,24.75,25.25,24.75,24.75,11894400,0.08
12/9/1990,24.75,25,24.75,25,13305600,0.08
13/9/1990,25.25,25.25,24.75,24.75,20966400,0.08
14/9/1990,24.75,25.25,24.75,24.75,16819200,0.08
17/9/1990,25,26,24.75,26,89712000,0.08
18/9/1990,26,27,25.5,26.75,33667200,0.08
19/9/1990,27,27,25.25,25.5,74073600,0.08
20/9/1990,25.25,25.87,25.25,25.5,75571200,0.08
21/9/1990,25.5,25.5,24.5,24.75,60969600,0.08
24/9/1990,24.25,24.5,23.75,24.25,96278400,0.08
25/9/1990,23.75,24.75,23.75,24.5,115718400,0.08
26/9/1990,24.75,24.75,23.75,23.75,64512000,0.08
27/9/1990,24,24.25,22.25,22.63,74073600,0.07
28/9/1990,22.25,22.5,21.75,22.5,155030400,0.07
1/10/1990,22.5,24.5,22.5,24.25,89596800,0.08
2/10/1990,25,25.25,23.75,24,48441600,0.08
3/10/1990,23.75,24.25,23.25,23.25,61459200,0.07
4/10/1990,23.25,24,23.25,24,23385600,0.08
5/10/1990,23,24.25,23,23.5,43401600,0.07
8/10/1990,24.5,24.5,23.75,23.88,10598400,0.08
9/10/1990,23.75,24,21.75,22.25,115027200,0.07
10/10/1990,21,21.25,19.75,20.5,113241600,0.06
11/10/1990,20.25,21,20,20.5,70041600,0.06
12/10/1990,21.25,22.37,20.75,21.75,41241600,0.07
15/10/1990,22.5,23,21.5,21.63,59270400,0.07
16/10/1990,22.25,23.75,22.25,23,61632000,0.07
17/10/1990,23.5,25,23,24.25,50515200,0.08
18/10/1990,24.75,26.5,24.5,26.5,121305600,0.08
19/10/1990,28.25,29.13,28,28.75,241171200,0.09
22/10/1990,29,29.75,28.75,29.75,127843200,0.09
23/10/1990,29.75,30.75,29.25,30.38,102326400,0.1
24/10/1990,29.75,31.5,29.25,31.25,66297600,0.1
25/10/1990,31.5,32,31,31.25,83088000,0.1
26/10/1990,31,31,29,29,94003200,0.09
29/10/1990,29,29.25,27.75,28,37785600,0.09
30/10/1990,28,29,26.5,28.5,90633600,0.09
31/10/1990,29.25,30.25,29,29.5,81244800,0.09
1/11/1990,29,29.5,28.75,29.5,35971200,0.09
2/11/1990,29.5,30.25,29.25,30.25,27648000,0.1
5/11/1990,30.25,31.5,29.75,31.25,37324800,0.1
6/11/1990,31.5,32.25,31.25,31.75,35827200,0.1
7/11/1990,31.88,31.88,30,30,118022400,0.1
8/11/1990,32.25,36.25,32,33.87,701654400,0.11
9/11/1990,34.5,35.5,34.5,35.25,141033600,0.11
12/11/1990,35,35.25,34.75,35,111801600,0.11
13/11/1990,35,35.5,34.5,35.5,66412800,0.11
14/11/1990,35.25,36,35,35.88,180259200,0.11
15/11/1990,36,37,35.5,36.5,96883200,0.12
16/11/1990,36.5,37,36.25,36.5,179280000,0.12
19/11/1990,37,37.25,36.75,37.25,45043200,0.12
20/11/1990,37.25,37.25,36.75,36.75,47289600,0.12
21/11/1990,36.75,36.75,35.25,36.5,71596800,0.12
23/11/1990,36.75,37,36.5,36.75,7862400,0.12
26/11/1990,36.25,36.75,36,36.62,41702400,0.12
27/11/1990,36.62,39.75,36.5,39.5,128188800,0.13
28/11/1990,39.5,40,39,39.25,126777600,0.12
29/11/1990,39.25,39.5,37.75,38.25,84960000,0.12
30/11/1990,38,39.5,37.75,39.5,102297600,0.13
3/12/1990,40,41.62,39.5,40.75,125942400,0.13
4/12/1990,41,41.5,40.75,41.37,66931200,0.13
5/12/1990,41.5,42,40.5,41.5,95356800,0.13
6/12/1990,42,42.87,41.25,41.75,151488000,0.13
7/12/1990,41.75,41.75,41.25,41.25,36115200,0.13
10/12/1990,41,41.5,41,41,5126400,0.13
11/12/1990,41.25,41.25,40,40.37,58147200,0.13
12/12/1990,40,41.75,39.75,41.5,67305600,0.13
13/12/1990,41.75,44,41.25,43.25,131904000,0.14
14/12/1990,43.25,45.25,42.5,45,125625600,0.14
17/12/1990,44.5,45.25,43.75,44.5,105120000,0.14
18/12/1990,44.5,44.5,42.5,43.5,83260800,0.14
19/12/1990,44,45,43.25,44.75,93427200,0.14
20/12/1990,44.25,45.25,43.75,44,111974400,0.14
21/12/1990,44.25,44.25,43,44,48384000,0.14
24/12/1990,43.75,43.75,43.25,43.5,14889600,0.14
26/12/1990,43.25,43.75,42,42,58147200,0.13
27/12/1990,42,43.25,41.75,43,56736000,0.14
28/12/1990,43,44.12,43,44.12,63043200,0.14
31/12/1990,44.25,45.12,44,44.88,29664000,0.14
2/1/1991,44.75,44.75,43.75,43.75,63561600,0.14
3/1/1991,43.75,44,42,42,104716800,0.13
4/1/1991,41.75,42.5,40.25,40.75,194803200,0.13
7/1/1991,40.5,40.5,39.25,39.75,89971200,0.13
8/1/1991,39.75,41.5,39.75,41.25,64108800,0.13
9/1/1991,42.25,42.25,40.75,41,89942400,0.13
10/1/1991,41.5,41.5,40.75,41.5,49363200,0.13
11/1/1991,41.5,41.5,40.75,41,33580800,0.13
14/1/1991,40.5,42,40.5,41.5,59328000,0.13
15/1/1991,41.5,44.75,41.5,44.63,85248000,0.14
16/1/1991,44.75,48,44.5,46.75,105724800,0.15
17/1/1991,49,50.25,47.5,49,178502400,0.16
18/1/1991,48.5,49.75,47.75,49.75,110448000,0.16
21/1/1991,49.5,52.75,49.25,52.75,85795200,0.17
22/1/1991,52.75,53.5,51.25,51.62,145036800,0.16
23/1/1991,51.5,51.75,50.5,51,108691200,0.16
24/1/1991,51.25,51.75,50.75,50.75,68083200,0.16
25/1/1991,50.75,54,50.75,53.75,107596800,0.17
28/1/1991,53.25,56,53.12,55.5,148867200,0.18
29/1/1991,55.5,55.62,53.5,55,171216000,0.17
30/1/1991,55.25,57.75,55,57.25,157852800,0.18
31/1/1991,57.5,59.5,57.12,58.5,138441600,0.19
1/2/1991,58.5,60,57.75,58.25,118886400,0.18
4/2/1991,58.25,58.5,57,57.75,134064000,0.18
5/2/1991,58.75,59.75,58,58.25,94550400,0.18
6/2/1991,57.75,59.5,56.75,58.75,113155200,0.19
7/2/1991,59.25,60.25,56.75,56.87,144921600,0.18
8/2/1991,58.75,59.75,56.25,59,503251200,0.19
11/2/1991,59,60.75,57.5,57.63,272822400,0.18
12/2/1991,57.75,59.25,57.5,59.25,513072000,0.19
13/2/1991,59,60.25,59,60.25,166550400,0.19
14/2/1991,60,60.25,58.25,58.5,171964800,0.19
15/2/1991,58.25,58.75,58,58.5,195811200,0.19
19/2/1991,58.5,58.75,57.5,58,157996800,0.18
20/2/1991,57.75,58.5,57.75,57.75,60739200,0.18
21/2/1991,58,58,57,57,75225600,0.18
22/2/1991,56.75,57.5,55.25,56.75,299664000,0.18
25/2/1991,57,57.75,56.25,56.75,97660800,0.18
26/2/1991,56.75,56.75,54.75,55.5,111974400,0.18
27/2/1991,55,55.5,52.75,53.88,195811200,0.17
28/2/1991,54.25,56.38,54,56,132624000,0.18
1/3/1991,56.25,57.5,55.75,57,91641600,0.18
4/3/1991,57.75,58,57.25,57.75,60019200,0.18
5/3/1991,58,59.75,57.5,59.75,138124800,0.19
6/3/1991,60.25,60.75,57,57,164505600,0.18
7/3/1991,57,57.12,53,54.75,379987200,0.17
8/3/1991,55.5,57,55,55.5,132969600,0.18
11/3/1991,55.25,55.25,51.75,53,154742400,0.17
12/3/1991,52.5,52.5,49.5,49.5,223430400,0.16
13/3/1991,50,52.5,49.75,52.25,231984000,0.17
14/3/1991,53.25,53.88,48.5,49.5,365299200,0.16
15/3/1991,50.25,50.5,47,48,219081600,0.15
18/3/1991,24.25,26.5,23.75,25.5,120052800,0.16
19/3/1991,25,26.5,24.5,26,83707200,0.16
20/3/1991,26.75,28.75,26.25,28.25,200649600,0.18
21/3/1991,28.75,29.25,26,26.5,163929600,0.17
22/3/1991,26,27.25,25.5,25.75,72259200,0.16
25/3/1991,26,26,24.25,24.63,87148800,0.16
26/3/1991,24.25,25.38,24.25,25,185673600,0.16
27/3/1991,25,26.75,23.75,26.5,478137600,0.17
28/3/1991,26.5,26.5,24,24.37,301708800,0.15
1/4/1991,24,24,21,22.25,326966400,0.14
2/4/1991,23.25,26.25,23,26,350582400,0.16
3/4/1991,26.25,26.5,25.25,26.25,188913600,0.17
