Date,Open,High,Low,Close,Volume,Adj Close
2/1/1970,51.12,52.25,51.12,52.25,526400,0.66
5/1/1970,52.25,52.88,52.12,52.5,1121600,0.66
6/1/1970,52.5,52.75,51.5,51.75,553600,0.65
7/1/1970,51.75,51.88,51.12,51.62,451200,0.65
8/1/1970,52.25,53,52.25,52.62,635200,0.66
9/1/1970,52.62,52.75,52.38,52.75,515200,0.66
12/1/1970,52.75,53.12,52,52.38,334400,0.66
13/1/1970,52.38,52.38,51.5,51.62,372800,0.65
14/1/1970,51.62,51.62,49.62,50,1124800,0.63
15/1/1970,50,50.25,49.62,49.88,336000,0.63
16/1/1970,49.88,50,49.38,49.88,425600,0.63
19/1/1970,49.88,49.88,49.38,49.75,508800,0.62
20/1/1970,49.75,49.75,49.12,49.25,588800,0.62
21/1/1970,49.25,49.38,48.75,48.88,454400,0.61
22/1/1970,48.88,49.5,48.5,49,640000,0.61
23/1/1970,49,49,48.5,48.75,427200,0.61
26/1/1970,48.75,48.75,47.62,48.38,732800,0.61
27/1/1970,48.25,48.25,47.12,48.25,540800,0.61
28/1/1970,48.25,48.5,46.62,46.62,499200,0.58
29/1/1970,46.62,47,46,46.5,696000,0.58
30/1/1970,46.5,47,45.75,46.12,817600,0.58
2/2/1970,46.12,46.5,45.75,46,937600,0.58
3/2/1970,46,46.12,45.5,45.62,1971200,0.57
4/2/1970,45.62,46.12,45.62,46,534400,0.59
5/2/1970,46,46,45.62,46,337600,0.59
6/2/1970,46,46,45.62,45.75,272000,0.58
9/2/1970,45.75,46,45.62,45.62,558400,0.58
10/2/1970,45.62,45.88,43.25,43.25,996800,0.55
11/2/1970,43.25,44.25,42.25,44.25,878400,0.56
12/2/1970,44.25,44.75,42.75,43.25,816000,0.55
13/2/1970,43.25,44.12,42.62,43.5,492800,0.55
16/2/1970,43.5,44,43.12,44,488000,0.56
17/2/1970,44,44.12,43.38,43.75,451200,0.56
18/2/1970,44,45,44,44.88,1028800,0.57
19/2/1970,45,45.75,45,45.38,824000,0.58
20/2/1970,45.38,46,45.38,46,1166400,0.59
24/2/1970,46,46,45.62,46,1043200,0.59
25/2/1970,46.25,47.5,46.25,47.5,593600,0.6
26/2/1970,47.5,48.38,47.38,48,862400,0.61
27/2/1970,48,48.5,47.5,47.5,1246400,0.6
2/3/1970,47.5,47.5,46.25,46.62,518400,0.59
3/3/1970,46.62,47,45.62,46.38,544000,0.59
4/3/1970,46.38,46.88,45.88,46,422400,0.59
5/3/1970,45.88,45.88,45.38,45.75,684800,0.58
6/3/1970,45.75,46.12,45.5,46.12,481600,0.59
9/3/1970,46.12,46.75,45.5,45.88,524800,0.58
10/3/1970,45.88,46.38,45.62,46.12,430400,0.59
11/3/1970,46.12,46.38,46,46.12,843200,0.59
12/3/1970,46.12,46.12,45.62,45.88,539200,0.58
13/3/1970,45.88,45.88,44.75,45.25,688000,0.58
16/3/1970,44.88,44.88,43.25,44.88,732800,0.57
17/3/1970,44.88,45.12,44.25,44.88,564800,0.57
18/3/1970,44.88,45.75,44.62,45.25,436800,0.58
19/3/1970,45.25,45.25,44.12,44.12,827200,0.56
20/3/1970,44.12,44.25,43.75,44.25,372800,0.56
23/3/1970,44,44,43.38,43.75,539200,0.56
24/3/1970,43.75,44.5,43.5,44.12,355200,0.56
25/3/1970,44.38,45.88,44.38,45,987200,0.57
26/3/1970,44.88,44.88,43.5,44,1644800,0.56
30/3/1970,44,44,43.62,43.88,628800,0.56
31/3/1970,43.88,44.62,43.75,44.5,579200,0.57
1/4/1970,44.5,45.38,44.5,45.38,1028800,0.58
2/4/1970,45.38,45.38,44.12,44.5,1150400,0.57
3/4/1970,44.5,45,44.25,45,449600,0.57
6/4/1970,45,45.25,44.62,45.12,384000,0.57
7/4/1970,45.12,45.12,44.5,44.5,422400,0.57
8/4/1970,44.5,44.88,44.38,44.88,321600,0.57
9/4/1970,44.75,44.75,44,44.75,520000,0.57
10/4/1970,44.75,44.75,44.38,44.5,360000,0.57
13/4/1970,44.5,44.75,44.12,44.25,408000,0.56
14/4/1970,44.25,44.25,43.75,43.88,563200,0.56
15/4/1970,43.88,44,43.62,43.88,385600,0.56
16/4/1970,43.88,43.88,43,43.25,816000,0.55
17/4/1970,43.25,43.62,43,43.38,286400,0.55
20/4/1970,43.38,43.75,43.25,43.38,350400,0.55
21/4/1970,43.38,43.62,43.12,43.38,302400,0.55
22/4/1970,43.38,43.38,42.5,43.12,440000,0.55
23/4/1970,43.12,43.25,42.5,43,516800,0.55
24/4/1970,43,43.25,42.25,42.38,548800,0.54
27/4/1970,42.38,42.75,42,42,582400,0.53
28/4/1970,42,42.38,41,41.38,860800,0.53
29/4/1970,41.38,41.88,40,41.75,873600,0.53
30/4/1970,41.75,42.38,41.38,41.75,430400,0.53
1/5/1970,41.75,41.75,40.5,41.75,707200,0.53
4/5/1970,41.75,41.88,40.5,41,537600,0.52
5/5/1970,40.88,40.88,40.12,40.25,633600,0.52
6/5/1970,40.25,40.5,39.75,40.12,1187200,0.52
7/5/1970,40.12,40.38,39.62,40.12,563200,0.52
8/5/1970,40.12,40.38,39.88,40,531200,0.52
11/5/1970,40,40.12,39.5,39.88,580800,0.52
12/5/1970,39.88,40.5,39.25,39.88,913600,0.52
13/5/1970,39.88,40,38.62,39.62,742400,0.51
14/5/1970,39.62,40.88,39.5,40.25,846400,0.52
15/5/1970,40.25,41,39.88,41,449600,0.53
18/5/1970,41,41.5,40.5,41.5,518400,0.54
19/5/1970,41.5,41.88,40.75,40.75,273600,0.53
20/5/1970,40.75,41,40,40.25,337600,0.52
21/5/1970,40.25,40.5,39.5,39.75,577600,0.51
22/5/1970,39.75,40.88,39.62,39.88,348800,0.52
25/5/1970,39.88,40,39.5,39.75,334400,0.51
26/5/1970,39.75,39.88,39.12,39.75,532800,0.51
27/5/1970,39.75,41.75,39.62,41,625600,0.53
28/5/1970,41.12,42.62,41.12,42.5,505600,0.55
29/5/1970,42.5,43.62,42.12,43.5,544000,0.56
1/6/1970,43.5,44.5,43.12,44.38,537600,0.57
2/6/1970,44.38,44.62,43,43.88,435200,0.57
3/6/1970,43.88,44.88,43.5,44.62,420800,0.58
4/6/1970,44.62,45,43.12,43.12,587200,0.56
5/6/1970,42.88,42.88,42,42.12,382400,0.55
8/6/1970,42.12,42.5,41.62,41.88,334400,0.54
9/6/1970,41.75,41.75,41,41.12,260800,0.53
10/6/1970,41.12,41.38,40.62,41.12,406400,0.53
11/6/1970,41.12,41.25,40.25,41,353600,0.53
12/6/1970,41,41.38,40.62,41.12,329600,0.53
15/6/1970,41,41,40.62,41,294400,0.53
16/6/1970,41,42.38,40.62,41.88,491200,0.54
17/6/1970,41.88,42.62,41.25,41.62,376000,0.54
18/6/1970,41.62,42.12,41,42.12,452800,0.55
19/6/1970,42.12,42.38,41.62,41.88,355200,0.54
22/6/1970,41.75,41.75,41,41.38,288000,0.54
23/6/1970,41.38,41.5,41,41.12,321600,0.53
24/6/1970,40.88,40.88,40,40.38,448000,0.52
25/6/1970,40.38,40.5,40,40.25,300800,0.52
26/6/1970,40.25,40.38,40,40.38,291200,0.52
29/6/1970,40.25,40.25,40,40.25,238400,0.52
30/6/1970,40.25,40.38,40,40.25,313600,0.52
1/7/1970,40.25,40.38,39.75,40.12,321600,0.52
2/7/1970,40.12,40.38,39.75,39.88,307200,0.52
6/7/1970,39.88,39.88,38.62,38.88,907200,0.5
7/7/1970,38.88,39,38.25,38.5,545600,0.5
8/7/1970,38.5,38.88,38,38.88,585600,0.5
9/7/1970,38.88,39.25,38.62,39,529600,0.51
10/7/1970,39.25,39.75,39.25,39.62,556800,0.51
13/7/1970,39.75,40,39.75,40,464000,0.52
14/7/1970,40,40.25,39.62,39.75,387200,0.51
15/7/1970,39.75,40.25,39.62,39.88,366400,0.52
16/7/1970,40.25,41.12,40.25,41,748800,0.53
17/7/1970,41.12,42.25,41.12,42.25,838400,0.55
20/7/1970,42.25,42.75,42.12,42.5,811200,0.55
21/7/1970,42.5,43,42.12,42.5,716800,0.55
22/7/1970,42.5,42.88,42,42.38,459200,0.55
23/7/1970,42.38,44.5,42.25,44,1011200,0.57
24/7/1970,44,44.88,43.25,43.5,590400,0.56
27/7/1970,43.5,43.88,43.25,43.5,475200,0.56
28/7/1970,43.5,43.62,43,43,492800,0.56
29/7/1970,43,43.62,43,43.12,344000,0.56
30/7/1970,43.25,43.88,43.25,43.75,822400,0.57
31/7/1970,43.88,44.5,43.88,44,504000,0.57
3/8/1970,44,44,43,43.62,412800,0.57
4/8/1970,43.25,43.25,42.25,43.25,304000,0.57
5/8/1970,43.25,43.5,42.62,43.12,296000,0.57
6/8/1970,43.12,43.38,42.62,43.12,312000,0.57
7/8/1970,43.12,44.75,43,44.5,537600,0.59
10/8/1970,44.5,44.75,43.12,43.75,630400,0.58
11/8/1970,43.75,43.75,43.25,43.38,187200,0.57
12/8/1970,43.38,43.5,43,43.5,248000,0.57
13/8/1970,43.5,43.5,42.88,43.38,256000,0.57
14/8/1970,43.38,43.62,42.62,42.62,316800,0.56
17/8/1970,42.62,42.75,42.12,42.5,462400,0.56
18/8/1970,42.5,43.5,42.5,43.5,716800,0.57
19/8/1970,43.75,45.12,43.75,44.5,1286400,0.59
20/8/1970,44.62,46.12,44.62,46.12,1256000,0.61
21/8/1970,46.12,46.62,46.12,46.5,992000,0.61
24/8/1970,46.62,48,46.62,47.38,1440000,0.62
25/8/1970,47.38,47.62,46.62,47.5,484800,0.63
26/8/1970,47.38,47.38,46.62,46.62,585600,0.61
27/8/1970,46.62,47.25,46.12,47.25,796800,0.62
28/8/1970,47.25,47.25,46.62,47.25,456000,0.62
31/8/1970,47.25,47.5,47.25,47.5,412800,0.63
1/9/1970,47.5,47.5,47,47.38,611200,0.62
2/9/1970,47.38,47.5,46.75,47.5,475200,0.63
3/9/1970,47.5,47.88,47.38,47.75,550400,0.63
4/9/1970,47.75,48,47.5,47.62,568000,0.63
8/9/1970,47.62,47.88,46.75,47.75,585600,0.63
9/9/1970,47.75,48,47.38,47.62,436800,0.63
10/9/1970,47.5,47.5,46.5,46.5,403200,0.61
11/9/1970,46.5,47,46.38,46.62,328000,0.61
14/9/1970,46.62,46.88,46,46.25,300800,0.61
15/9/1970,46.25,46.38,45.62,45.88,297600,0.6
16/9/1970,45.88,45.88,45.12,45.5,1110400,0.6
17/9/1970,45.5,46,45.38,45.62,692800,0.6
18/9/1970,45.62,47.38,45.62,46.75,1400000,0.62
21/9/1970,46.75,46.75,46,46,593600,0.61
22/9/1970,45.62,45.62,45,45.12,593600,0.59
23/9/1970,45.12,47.12,45,46.12,1156800,0.61
24/9/1970,46.12,46.75,46.12,46.5,1000000,0.61
25/9/1970,46.5,46.88,46.25,46.75,552000,0.62
28/9/1970,46.75,46.75,46.12,46.62,419200,0.61
29/9/1970,46.62,46.75,46,46.38,596800,0.61
30/9/1970,46.25,46.25,45.5,45.62,558400,0.6
1/10/1970,45.62,46,45.25,46,262400,0.61
2/10/1970,46,47,46,46.88,758400,0.62
5/10/1970,47,47.62,47,47.62,632000,0.63
6/10/1970,47.62,48.38,47.5,48.25,912000,0.64
7/10/1970,48.25,48.62,48,48.62,769600,0.64
8/10/1970,48.62,49.62,48.38,48.62,1048000,0.64
9/10/1970,48.62,48.75,47.75,47.75,990400,0.63
12/10/1970,47.75,47.88,47.25,47.62,228800,0.63
13/10/1970,47.62,47.75,47.25,47.38,531200,0.62
14/10/1970,47.38,48,47.38,48,376000,0.63
15/10/1970,48,48.62,47.88,48.62,454400,0.64
16/10/1970,48.62,48.88,48.12,48.62,377600,0.64
19/10/1970,48.5,48.5,47.62,47.62,409600,0.63
20/10/1970,47.62,48,47.12,47.25,348800,0.62
21/10/1970,47.38,48.12,47.38,48,464000,0.63
22/10/1970,48,48.12,47.62,47.62,377600,0.63
23/10/1970,47.62,48,47.5,48,536000,0.63
26/10/1970,48,48,47.12,47.12,388800,0.62
27/10/1970,47.12,47.12,46.25,47,441600,0.62
28/10/1970,47,47.5,46.12,47.5,667200,0.63
29/10/1970,47.5,48,47.25,47.75,737600,0.63
30/10/1970,47.75,48.12,47.25,48.12,654400,0.63
2/11/1970,48.12,48.12,47.75,47.88,684800,0.63
3/11/1970,47.88,48.38,47.75,48.25,385600,0.64
4/11/1970,48,48,47.38,48,435200,0.64
5/11/1970,48,48.25,47.62,48,582400,0.64
6/11/1970,48,48.38,48,48.38,596800,0.65
9/11/1970,48.38,48.5,48,48.25,403200,0.64
10/11/1970,48.25,48.38,48,48.25,526400,0.64
11/11/1970,48.38,48.75,48.38,48.5,473600,0.65
12/11/1970,48.5,48.75,48.25,48.5,395200,0.65
13/11/1970,48.38,48.38,48,48.12,456000,0.64
16/11/1970,48.12,48.25,47.88,48,494400,0.64
17/11/1970,48,48.25,48,48,222400,0.64
18/11/1970,48,48,47.5,47.75,312000,0.64
19/11/1970,47.75,47.88,47.5,47.75,257600,0.64
20/11/1970,47.75,47.75,47.25,47.38,324800,0.63
23/11/1970,47.38,47.88,47.12,47.62,444800,0.64
24/11/1970,47.62,48.25,47.12,48,598400,0.64
25/11/1970,48,49.25,48,48.88,849600,0.65
27/11/1970,48.88,50,48.75,50,1160000,0.67
30/11/1970,50,51.88,50,51,2496000,0.68
1/12/1970,51,52,50.62,50.88,1976000,0.68
2/12/1970,50.88,51.38,50.5,51,492800,0.68
3/12/1970,51,51.62,50.75,51,768000,0.68
4/12/1970,51,51.12,50.62,51.12,814400,0.68
7/12/1970,51.12,51.62,50.75,51.5,1755200,0.69
8/12/1970,51.5,52,51.25,51.88,1222400,0.69
9/12/1970,51.88,52.62,51.5,52.5,1080000,0.7
10/12/1970,52.5,53.12,52.38,52.62,1008000,0.7
11/12/1970,52.75,53.5,52.75,53.12,764800,0.71
14/12/1970,53.12,53.12,52.5,52.5,352000,0.7
15/12/1970,52.5,52.75,52.12,52.38,420800,0.7
16/12/1970,52.38,52.5,51.5,52.25,452800,0.7
17/12/1970,52.25,53.12,52.25,53.12,296000,0.71
18/12/1970,53.12,53.38,52.88,53.12,345600,0.71
21/12/1970,53.12,53.5,52.88,53.38,384000,0.71
22/12/1970,53.38,53.38,52.62,53,894400,0.71
23/12/1970,53,54,52.75,53.62,718400,0.72
24/12/1970,53.62,53.88,53.38,53.75,200000,0.72
28/12/1970,53.75,53.75,53.12,53.75,633600,0.72
29/12/1970,53.75,54.25,53.75,54.25,707200,0.72
30/12/1970,54.38,54.88,54.38,54.75,587200,0.73
31/12/1970,54.75,54.88,54.38,54.5,377600,0.73
4/1/1971,54.38,54.38,53.5,53.5,361600,0.71
5/1/1971,53.5,53.88,53.12,53.62,734400,0.72
6/1/1971,53.62,54.12,53.62,53.88,473600,0.72
7/1/1971,53.88,54.62,53.75,54.12,870400,0.72
8/1/1971,54.12,54.62,54,54.25,574400,0.72
11/1/1971,54.25,54.75,52.75,54,708800,0.72
12/1/1971,53.88,53.88,53.12,53.25,577600,0.71
13/1/1971,52.88,52.88,50.12,50.88,2430400,0.68
14/1/1971,50.88,51,49.5,51,1636800,0.68
15/1/1971,51,51.25,50.75,51,697600,0.68
18/1/1971,51,51.75,50.88,51.75,820800,0.69
19/1/1971,51.75,52.25,51.62,52.25,712000,0.7
20/1/1971,52.25,52.62,52,52.38,617600,0.7
21/1/1971,52.38,52.88,52.12,52.5,849600,0.7
22/1/1971,52.5,53.5,52.38,53,1000000,0.71
25/1/1971,52.75,52.75,52,52.25,662400,0.7
