Date,Open,High,Low,Close,Volume,Adj Close
18/5/2012,42.05,45,38,38.23,573576400,38.23
21/5/2012,36.53,36.66,33,34.03,168192700,34.03
22/5/2012,32.61,33.59,30.94,31,101786600,31
23/5/2012,31.37,32.5,31.36,32,73600000,32
24/5/2012,32.95,33.21,31.77,33.03,50237200,33.03
25/5/2012,32.9,32.95,31.11,31.91,37149800,31.91
29/5/2012,31.48,31.69,28.65,28.84,78063400,28.84
30/5/2012,28.7,29.55,27.86,28.19,57267900,28.19
31/5/2012,28.55,29.67,26.83,29.6,111639200,29.6
1/6/2012,28.89,29.15,27.39,27.72,41855500,27.72
4/6/2012,27.2,27.65,26.44,26.9,35230300,26.9
5/6/2012,26.7,27.76,25.75,25.87,42473400,25.87
6/6/2012,26.07,27.17,25.52,26.81,61489200,26.81
7/6/2012,27,27.35,26.15,26.31,26159500,26.31
8/6/2012,26.55,27.76,26.44,27.1,38034000,27.1
11/6/2012,27.18,28.07,26.84,27.01,28219600,27.01
12/6/2012,27.48,27.77,26.96,27.4,15816800,27.4
13/6/2012,27.66,28.1,27.1,27.27,17102800,27.27
14/6/2012,27.65,28.32,27.38,28.29,16855000,28.29
15/6/2012,28.51,30.1,28.35,30.01,43563800,30.01
18/6/2012,29.96,32.08,29.41,31.41,42978900,31.41
19/6/2012,31.54,32.18,30.7,31.91,30849000,31.91
20/6/2012,31.92,31.93,31.15,31.6,15553600,31.6
21/6/2012,31.67,32.5,31.51,31.84,21875300,31.84
22/6/2012,32.41,33.45,32.06,33.05,74834000,33.05
25/6/2012,32.86,33.02,31.55,32.06,24352900,32.06
26/6/2012,32.69,33.44,32.5,33.1,24858700,33.1
27/6/2012,32.46,32.9,31.9,32.23,28568000,32.23
28/6/2012,31.96,32.19,30.9,31.36,17713300,31.36
29/6/2012,31.92,31.99,30.76,31.1,19526900,31.1
2/7/2012,31.25,31.73,30.55,30.77,14122000,30.77
3/7/2012,30.91,31.44,30.8,31.2,8763600,31.2
5/7/2012,31.32,31.63,31.02,31.47,10032100,31.47
6/7/2012,31.44,31.9,31.26,31.73,10945600,31.73
9/7/2012,32.1,32.88,31.99,32.17,17785200,32.17
10/7/2012,32.43,32.48,31.16,31.47,14269500,31.47
11/7/2012,31.48,31.56,30.55,30.97,13030300,30.97
12/7/2012,30.7,31.4,30.6,30.81,11300700,30.81
13/7/2012,31.04,31.07,30.56,30.72,8108300,30.72
16/7/2012,30.5,30.5,28.21,28.25,24672100,28.25
17/7/2012,28.48,28.59,27.15,28.09,30438600,28.09
18/7/2012,28.31,29.29,28.15,29.11,16841800,29.11
19/7/2012,29.41,29.5,28.63,29,13685100,29
20/7/2012,29,29.47,28.72,28.76,11869100,28.76
23/7/2012,28.12,29,28.01,28.75,12390700,28.75
24/7/2012,28.82,29.45,28.1,28.45,11539800,28.45
25/7/2012,28.39,29.49,28.08,29.34,17230200,29.34
26/7/2012,27.75,28.23,26.73,26.85,64597400,26.85
27/7/2012,23.19,24.54,22.28,23.71,123102300,23.71
30/7/2012,24,24.04,23.03,23.15,29285900,23.15
31/7/2012,23.37,23.37,21.61,21.71,56179400,21.71
1/8/2012,21.5,21.58,20.84,20.88,44604400,20.88
2/8/2012,20.77,20.84,19.82,20.04,56374500,20.04
3/8/2012,20.36,22.16,19.9,21.09,80647000,21.09
6/8/2012,21.39,22.15,21.3,21.92,27778900,21.92
7/8/2012,22.2,22.45,20.5,20.72,36782900,20.72
8/8/2012,20.71,21.15,20.22,20.72,29537400,20.72
9/8/2012,20.75,21.17,20.61,21.01,15610700,21.01
10/8/2012,21.41,21.82,21.13,21.81,25794700,21.81
13/8/2012,22.15,22.45,21.4,21.6,24973100,21.6
14/8/2012,21.41,21.6,20.25,20.38,39308800,20.38
15/8/2012,20.64,21.41,20.4,21.2,47861100,21.2
16/8/2012,20.44,20.48,19.69,19.87,157565300,19.87
17/8/2012,20.01,20.08,19,19.05,129293400,19.05
20/8/2012,19.05,20.13,18.75,20.01,101186600,20.01
21/8/2012,19.58,19.98,19.09,19.16,70640600,19.16
22/8/2012,19.36,19.53,18.96,19.44,49892200,19.44
23/8/2012,19.5,19.73,19.36,19.44,32813700,19.44
24/8/2012,19.52,19.68,19.25,19.41,29622200,19.41
27/8/2012,19.49,19.53,19.1,19.15,20704000,19.15
28/8/2012,19.1,19.38,18.95,19.34,25417000,19.34
29/8/2012,19.32,19.38,19.07,19.1,16124700,19.1
