Date,Open,High,Low,Close,Volume,Adj Close
2/1/1962,37,37,35,35,1126400,0.13
3/1/1962,35,35,34.25,34.63,230400,0.12
4/1/1962,34.63,35.75,33.25,33.88,384000,0.12
5/1/1962,33.75,33.75,33.13,33.13,153600,0.12
8/1/1962,33.13,33.63,32.5,33.63,396800,0.12
9/1/1962,33.63,35,33.25,34.12,422400,0.12
10/1/1962,34.12,34.37,33.63,34.37,204800,0.12
11/1/1962,34.37,34.5,34,34.25,192000,0.12
12/1/1962,34.25,34.75,34,34,243200,0.12
15/1/1962,34,34.12,33.5,33.5,140800,0.12
16/1/1962,33.5,33.5,33,33.13,89600,0.12
17/1/1962,33.13,33.63,33,33,192000,0.12
18/1/1962,33,33,32.62,32.88,217600,0.12
19/1/1962,33.25,35,33.25,34.75,640000,0.12
22/1/1962,34.75,35.62,34.63,35,256000,0.13
23/1/1962,35,36,34.5,34.5,371200,0.12
24/1/1962,34.25,34.25,33.5,34,153600,0.12
25/1/1962,34,34.5,33.75,34,371200,0.12
26/1/1962,34,34.25,33.88,34,627200,0.12
29/1/1962,33.75,33.75,33.25,33.25,89600,0.12
30/1/1962,33.25,33.63,33.13,33.63,700,0.12
31/1/1962,34.12,34.12,33.5,34.12,256000,0.12
1/2/1962,34.12,34.63,33.63,33.63,243200,0.12
2/2/1962,33.63,33.63,33.5,33.63,64000,0.12
5/2/1962,33.63,34.12,33.25,33.25,307200,0.12
6/2/1962,33.25,33.37,33,33.37,256000,0.12
7/2/1962,33.37,33.37,32.62,32.62,243200,0.12
8/2/1962,32.62,33,32.5,32.5,332800,0.12
9/2/1962,32.62,32.88,32.62,32.75,166400,0.12
12/2/1962,32.75,33.37,32.62,33,140800,0.12
13/2/1962,33,33,32.25,32.25,89600,0.12
14/2/1962,32.25,32.62,32,32,179200,0.11
15/2/1962,31.75,31.75,31,31.38,371200,0.11
16/2/1962,31.38,31.87,31.12,31.75,281600,0.11
19/2/1962,31.75,32.13,31.75,31.87,268800,0.11
20/2/1962,31.87,32.25,31.87,32.13,396800,0.11
21/2/1962,32.13,32.75,32,32.62,25600,0.12
23/2/1962,32.62,32.88,32.38,32.75,320000,0.12
26/2/1962,32.75,33.5,32.5,33.25,384000,0.12
27/2/1962,33.25,33.63,33.25,33.5,307200,0.12
28/2/1962,33.5,33.63,33.25,33.25,204800,0.12
1/3/1962,33.25,33.5,33.25,33.5,102400,0.12
2/3/1962,33.5,33.5,33.25,33.37,384000,0.12
5/3/1962,33.37,33.5,32.88,33,524800,0.12
6/3/1962,33,33,32.88,33,294400,0.12
7/3/1962,33,33,32.5,32.88,460800,0.12
8/3/1962,33.13,33.63,33.13,33.63,217600,0.12
9/3/1962,33.75,34.25,33.75,34.25,294400,0.12
12/3/1962,34.25,34.75,34.12,34.12,166400,0.12
13/3/1962,34.12,34.5,34.12,34.12,204800,0.12
14/3/1962,34.12,34.25,33.5,33.5,243200,0.12
15/3/1962,33.5,34,33.25,33.37,422400,0.12
16/3/1962,33.5,34,33.5,34,294400,0.12
19/3/1962,34,34.25,34,34.25,217600,0.12
20/3/1962,34.12,34.12,34,34,153600,0.12
21/3/1962,34,34,33.88,34,588800,0.12
22/3/1962,34.12,34.12,34.12,34.12,332800,0.12
23/3/1962,34.12,35.38,34.12,34.75,1177600,0.12
26/3/1962,34.75,34.75,34.12,34.12,204800,0.12
27/3/1962,34,34,33.13,33.75,345600,0.12
28/3/1962,33.75,34.25,33.75,34.12,294400,0.12
29/3/1962,34.12,34.5,34.12,34.12,256000,0.12
30/3/1962,34.12,34.25,33.13,33.75,473600,0.12
2/4/1962,33.75,33.75,33.5,33.75,371200,0.12
3/4/1962,33.75,33.75,32.38,32.5,512000,0.12
4/4/1962,32.25,32.25,31,31,358400,0.11
5/4/1962,31,31.5,30.63,31.38,409600,0.11
6/4/1962,31.38,32,30.75,31,1356800,0.11
9/4/1962,30.87,30.87,30.37,30.63,524800,0.11
10/4/1962,31,31.75,31,31.5,780800,0.11
11/4/1962,31.5,31.87,31.25,31.38,448000,0.11
12/4/1962,31.38,31.5,31.25,31.25,192000,0.11
13/4/1962,30.75,30.75,30,30.75,1024000,0.11
16/4/1962,30.75,30.75,29.63,29.75,742400,0.11
17/4/1962,29.75,29.88,29.5,29.75,281600,0.11
18/4/1962,29.75,29.88,29.5,29.5,691200,0.11
19/4/1962,29,29,28.38,28.62,652800,0.1
23/4/1962,28.75,29.88,28.75,29.75,384000,0.11
24/4/1962,29.75,30.25,29.63,29.88,281600,0.11
25/4/1962,29.88,30.12,29.13,29.5,358400,0.11
26/4/1962,29.13,29.13,28.75,28.75,396800,0.1
27/4/1962,28,28,27.25,27.25,755200,0.1
30/4/1962,27.25,28.25,26.63,26.63,499200,0.1
1/5/1962,26.63,27.5,26.37,27.38,448000,0.1
2/5/1962,27.38,27.62,27.12,27.25,396800,0.1
3/5/1962,27.25,27.87,26.75,27.87,396800,0.1
4/5/1962,27.87,27.87,27.25,27.38,486400,0.1
7/5/1962,27.38,27.38,26.37,26.63,204800,0.1
8/5/1962,26.63,26.75,26.5,26.63,243200,0.1
9/5/1962,26.63,26.63,26.12,26.12,396800,0.09
10/5/1962,26.12,26.12,24.25,24.62,499200,0.09
