Date,Open,High,Low,Close,Volume,Adj Close
17/3/1980,62.5,63.5,62.5,62.5,10924800,0.24
18/3/1980,62.5,63,62,62,17068800,0.23
19/3/1980,63.5,64.5,63.5,63.5,18508800,0.24
20/3/1980,63.5,64.25,63.25,63.25,11174400,0.24
21/3/1980,62,62,61,61,12172800,0.23
24/3/1980,60.75,60.75,59.75,59.75,8966400,0.23
25/3/1980,60,61,60,60,11347200,0.23
26/3/1980,60,60.5,59.5,59.5,16262400,0.23
27/3/1980,58.5,58.5,57.5,57.5,26918400,0.22
28/3/1980,59.75,60.75,59.75,59.75,20102400,0.23
31/3/1980,61.75,62.75,61.75,61.75,9004800,0.23
1/4/1980,62,63,62,62,8179200,0.23
2/4/1980,62.5,63.5,62.5,62.5,12556800,0.24
3/4/1980,62.25,62.25,61.25,61.25,6988800,0.23
7/4/1980,60.75,60.75,59.75,59.75,13478400,0.23
8/4/1980,60,61,60,60,29184000,0.23
9/4/1980,59.75,59.75,58.75,58.75,11558400,0.22
10/4/1980,58.75,59.5,58.5,58.5,14784000,0.22
11/4/1980,58.5,59.5,58.5,58.5,9523200,0.22
14/4/1980,59,60,59,59,8025600,0.22
15/4/1980,59,59.25,58.25,58.25,10598400,0.22
16/4/1980,57,57,56,56,10752000,0.21
17/4/1980,56,56,55,55,17702400,0.21
18/4/1980,55.75,56.75,55.75,55.75,18739200,0.21
21/4/1980,55.75,56.25,55.25,55.25,9043200,0.21
22/4/1980,57.75,58.75,57.75,57.75,20428800,0.22
23/4/1980,61.25,62.25,61.25,61.25,14822400,0.23
24/4/1980,61.5,62.5,61.5,61.5,8832000,0.23
25/4/1980,61.5,61.5,60.5,60.5,7104000,0.23
28/4/1980,60.5,61,60,60,6931200,0.23
29/4/1980,60.5,61.5,60.5,60.5,6297600,0.23
30/4/1980,61.25,62.25,61.25,61.25,7065600,0.23
1/5/1980,61.5,62.5,61.5,61.5,7008000,0.23
2/5/1980,62.5,63.5,62.5,62.5,5510400,0.24
5/5/1980,63.25,64.25,63.25,63.25,3513600,0.24
6/5/1980,63.25,64,63,63,6988800,0.24
7/5/1980,63,64,63,63,6393600,0.24
8/5/1980,63,63.25,62.25,62.25,7468800,0.24
9/5/1980,63,64,63,63,16684800,0.24
12/5/1980,63,63.75,62.75,62.75,8582400,0.24
13/5/1980,64,65,64,64,7372800,0.24
14/5/1980,65,66,65,65,4742400,0.25
15/5/1980,65.5,66.5,65.5,65.5,8102400,0.25
16/5/1980,66.25,67.25,66.25,66.25,4838400,0.25
19/5/1980,66.5,67.5,66.5,66.5,8640000,0.25
20/5/1980,66.5,66.75,65.75,65.75,21811200,0.25
21/5/1980,65.25,65.25,64.25,64.25,10540800,0.24
22/5/1980,64.25,64.5,63.5,63.5,5318400,0.24
23/5/1980,65.75,66.75,65.75,65.75,29779200,0.25
27/5/1980,65.75,66.5,65.5,65.5,8332800,0.25
28/5/1980,67,68,67,67,6700800,0.25
29/5/1980,67,68,67,67,7660800,0.25
30/5/1980,68,69,68,68,5721600,0.26
2/6/1980,68.25,69.25,68.25,68.25,6355200,0.26
3/6/1980,67.5,67.5,66.5,66.5,15244800,0.25
4/6/1980,67.5,68.5,67.5,67.5,7680000,0.26
5/6/1980,67.5,68.5,67.5,67.5,6470400,0.26
6/6/1980,67.5,68,67,67,28723200,0.25
9/6/1980,67,67.5,66.5,66.5,7545600,0.25
10/6/1980,67.25,68.25,67.25,67.25,17280000,0.25
11/6/1980,68,69,68,68,3206400,0.26
12/6/1980,68,68,67,67,10809600,0.25
13/6/1980,67,68,67,67,3590400,0.25
16/6/1980,67,68,67,67,7987200,0.25
17/6/1980,67,67.75,66.75,66.75,12864000,0.25
18/6/1980,66.75,67.25,66.25,66.25,8064000,0.25
19/6/1980,66,66,65,65,13689600,0.25
20/6/1980,65.25,66.25,65.25,65.25,7027200,0.25
23/6/1980,65.25,66.25,65.25,65.25,9888000,0.25
24/6/1980,65.25,66.25,65.25,65.25,9676800,0.25
25/6/1980,66,67,66,66,15494400,0.25
26/6/1980,66,67,66,66,10156800,0.25
27/6/1980,66.25,67.25,66.25,66.25,6912000,0.25
30/6/1980,66.25,66.75,65.75,65.75,5337600,0.25
1/7/1980,66.75,67.75,66.75,66.75,9811200,0.25
2/7/1980,67.25,68.25,67.25,67.25,6585600,0.25
3/7/1980,67.75,68.75,67.75,67.75,4550400,0.26
7/7/1980,70.25,70.75,70.25,70.25,19545600,0.27
8/7/1980,71.75,72.25,71.75,71.75,13190400,0.27
9/7/1980,71.75,72,71.75,71.75,9388800,0.27
10/7/1980,72.75,73,72.75,72.75,14092800,0.28
11/7/1980,72.75,73,72.5,72.5,9888000,0.27
14/7/1980,73.25,73.75,73.25,73.25,15052800,0.28
15/7/1980,75.5,75.75,75.5,75.5,20678400,0.29
16/7/1980,76.75,77,76.75,76.75,11692800,0.29
17/7/1980,78.5,79,78.5,78.5,15456000,0.3
18/7/1980,80.5,80.75,80.5,80.5,12576000,0.3
21/7/1980,80.5,80.75,80.5,80.5,14208000,0.3
22/7/1980,80,80,79.5,79.5,14150400,0.3
23/7/1980,79,79,78.75,78.75,8371200,0.3
24/7/1980,78.5,78.5,78.25,78.25,11616000,0.3
25/7/1980,77.75,77.75,77.5,77.5,22156800,0.29
28/7/1980,78.25,78.75,78.25,78.25,7372800,0.3
29/7/1980,81.75,82.25,81.75,81.75,11424000,0.31
30/7/1980,84.25,84.5,84.25,84.25,12614400,0.32
31/7/1980,84.75,85.25,84.75,84.75,24384000,0.32
1/8/1980,84.25,84.25,83.5,83.5,9523200,0.32
4/8/1980,84.75,85.5,84.75,84.75,5721600,0.32
5/8/1980,85.25,85.75,85.25,85.25,6720000,0.32
6/8/1980,85.25,85.25,84.5,84.5,11193600,0.32
7/8/1980,85.5,85.75,85.5,85.5,8812800,0.32
8/8/1980,86.75,87.25,86.75,86.75,5817600,0.33
11/8/1980,92.25,92.75,92.25,92.25,7276800,0.35
12/8/1980,92.5,93.5,92.5,92.5,22406400,0.35
13/8/1980,91.25,91.25,90.75,90.75,12153600,0.34
14/8/1980,90.75,91,90.75,90.75,8793600,0.34
15/8/1980,90,90,89.5,89.5,41011200,0.34
18/8/1980,87.25,87.25,87,87,7699200,0.33
19/8/1980,86,86,85.75,85.75,8889600,0.32
20/8/1980,87.5,88,87.5,87.5,11808000,0.33
21/8/1980,88.5,88.75,88.5,88.5,11251200,0.33
22/8/1980,89,89.25,89,89,38515200,0.34
25/8/1980,89,89.25,89,89,11174400,0.34
26/8/1980,89,89.25,89,89,20160000,0.34
27/8/1980,89,89,88.75,88.75,3513600,0.34
28/8/1980,88.25,88.25,88,88,6451200,0.33
29/8/1980,87.75,87.75,87.5,87.5,15552000,0.33
2/9/1980,88.75,89,88.75,88.75,6816000,0.34
3/9/1980,91.5,92,91.5,91.5,9292800,0.35
4/9/1980,92.25,92.75,92.25,92.25,16147200,0.35
5/9/1980,92,92,91.75,91.75,6259200,0.35
8/9/1980,89.75,89.75,89.25,89.25,4300800,0.34
9/9/1980,89.5,89.75,89.5,89.5,13632000,0.34
10/9/1980,89,89,88.5,88.5,10099200,0.33
11/9/1980,89,89.25,89,89,5990400,0.34
12/9/1980,89,89,88.75,88.75,4800000,0.34
15/9/1980,88,88,87.75,87.75,5337600,0.33
16/9/1980,90.25,90.5,90.25,90.25,9139200,0.34
17/9/1980,94.25,94.5,94.25,94.25,11577600,0.36
18/9/1980,94.5,94.75,94.5,94.5,14227200,0.36
19/9/1980,95.25,95.5,95.25,95.25,6086400,0.36
22/9/1980,94.25,94.25,93.75,93.75,8313600,0.35
23/9/1980,90.5,90.5,90.25,90.25,7142400,0.34
24/9/1980,89.75,89.75,89.25,89.25,10022400,0.34
25/9/1980,88.5,88.5,88.25,88.25,11520000,0.33
26/9/1980,87.5,87.5,87,87,9312000,0.33
29/9/1980,87.25,87.5,87.25,87.25,3801600,0.33
30/9/1980,89,89.5,89,89,6086400,0.34
1/10/1980,90,90.25,90,90,5971200,0.34
2/10/1980,90,90.25,89.75,89.75,4281600,0.34
3/10/1980,92.75,93,92.75,92.75,5068800,0.35
6/10/1980,98.5,99,98.5,98.5,10060800,0.37
7/10/1980,98.75,99.25,98.75,98.75,9158400,0.37
8/10/1980,97,97,96.75,96.75,25036800,0.37
9/10/1980,48.38,48.5,48.25,48.25,8697600,0.37
10/10/1980,48,48,47.75,47.75,6624000,0.36
13/10/1980,48,48.25,48,48,3235200,0.36
14/10/1980,48.25,48.75,48.25,48.25,6652800,0.37
15/10/1980,49.25,49.5,49.25,49.25,4416000,0.37
16/10/1980,49.25,49.5,49,49,5942400,0.37
17/10/1980,49,49,48.5,48.5,6988800,0.37
20/10/1980,48.25,48.25,48,48,6489600,0.36
21/10/1980,47.75,47.75,47.5,47.5,8908800,0.36
22/10/1980,48,48.25,48,48,5136000,0.36
23/10/1980,47.5,47.5,47,47,3206400,0.36
24/10/1980,46.25,46.25,46,46,4204800,0.35
27/10/1980,43.75,43.75,43.5,43.5,5769600,0.33
28/10/1980,44.75,45.25,44.75,44.75,4473600,0.34
29/10/1980,45.75,46,45.75,45.75,6844800,0.35
30/10/1980,41.5,41.5,41,41,54960000,0.31
31/10/1980,42,42.25,42,42,16579200,0.32
3/11/1980,42,42.25,42,42,18777600,0.32
5/11/1980,45,45.25,45,45,16108800,0.34
6/11/1980,42.5,42.5,42.25,42.25,20659200,0.32
7/11/1980,43,43.5,43,43,7334400,0.33
10/11/1980,43,43.25,42.75,42.75,8390400,0.32
11/11/1980,43.5,43.75,43.5,43.5,8620800,0.33
12/11/1980,45,45.25,45,45,13440000,0.34
13/11/1980,46,46.25,46,46,9753600,0.35
14/11/1980,48,48.5,48,48,12028800,0.36
17/11/1980,48.25,48.5,48.25,48.25,8515200,0.37
18/11/1980,49.5,49.75,49.5,49.5,8467200,0.37
19/11/1980,49,49,48.75,48.75,10387200,0.37
20/11/1980,48.5,48.5,48.25,48.25,11251200,0.37
21/11/1980,47.75,47.75,47.5,47.5,10684800,0.36
24/11/1980,47.25,47.25,46.75,46.75,8688000,0.35
25/11/1980,46.75,47,46.75,46.75,5990400,0.35
26/11/1980,47,47.25,47,47,5654400,0.36
28/11/1980,47,47,46.5,46.5,5088000,0.35
1/12/1980,43.5,43.5,43,43,5328000,0.33
2/12/1980,43,43.5,43,43,12768000,0.33
3/12/1980,43.5,44,43.5,43.5,7478400,0.33
4/12/1980,44.38,44.75,44.38,44.38,9398400,0.34
5/12/1980,41.75,41.75,41.5,41.5,12278400,0.31
8/12/1980,40.25,40.25,40,40,13363200,0.3
9/12/1980,41.75,42.25,41.75,41.75,20572800,0.32
10/12/1980,41.5,41.5,41.25,41.25,17558400,0.31
11/12/1980,40.5,40.5,40,40,23481600,0.3
12/12/1980,41.25,41.5,41.25,41.25,12460800,0.31
15/12/1980,41.25,41.5,41.25,41.25,8544000,0.31
16/12/1980,41.5,42,41.5,41.5,16425600,0.31
17/12/1980,41,41,40.75,40.75,15753600,0.31
18/12/1980,40.75,41,40.5,40.5,18508800,0.31
19/12/1980,39,39,38.5,38.5,31900800,0.29
22/12/1980,38.5,38.75,38.5,38.5,19526400,0.29
23/12/1980,39.25,39.5,39.25,39.25,17145600,0.3
24/12/1980,40,40.5,40,40,11808000,0.3
26/12/1980,41,41.5,41,41,4300800,0.31
29/12/1980,40,40,39.75,39.75,15782400,0.3
30/12/1980,40.25,40.5,40.25,40.25,8131200,0.3
31/12/1980,40.25,40.75,40.25,40.25,6624000,0.3
2/1/1981,40.25,40.75,40.25,40.25,7795200,0.3
5/1/1981,41.75,42.25,41.75,41.75,9187200,0.32
6/1/1981,41,41,40.75,40.75,16099200,0.31
7/1/1981,39.75,39.75,39.5,39.5,16857600,0.3
8/1/1981,39,39,38.75,38.75,12556800,0.29
9/1/1981,38.75,39,38.75,38.75,8332800,0.29
12/1/1981,38.25,38.25,38,38,13574400,0.29
13/1/1981,38,38,37.75,37.75,14630400,0.29
14/1/1981,38,38.5,38,38,5702400,0.29
15/1/1981,38.25,38.75,38.25,38.25,10051200,0.29
16/1/1981,40,40.25,40,40,12768000,0.3
19/1/1981,40,40.25,40,40,7180800,0.3
20/1/1981,39,39,38.75,38.75,7017600,0.29
21/1/1981,38.75,38.75,38.5,38.5,8976000,0.29
22/1/1981,38.5,39,38.5,38.5,7286400,0.29
23/1/1981,39.25,39.5,39.25,39.25,8803200,0.3
26/1/1981,38.5,38.5,38.25,38.25,11760000,0.29
27/1/1981,38.25,38.25,38,38,10070400,0.29
28/1/1981,38,38.25,38,38,6681600,0.29
29/1/1981,38,38.25,38,38,7516800,0.29
