Date,Open,High,Low,Close,Volume,Adj Close
19/3/1993,15.25,16.25,14.5,14.88,45022000,0.44
22/3/1993,14.5,14.63,14.13,14.25,6799900,0.43
23/3/1993,14.25,14.5,14.13,14.25,4150500,0.43
24/3/1993,14.5,14.63,14.13,14.5,1831500,0.43
25/3/1993,14.75,15.25,14.63,15.12,2125000,0.45
26/3/1993,15.25,16.13,15.12,15.62,4157200,0.47
29/3/1993,15.87,15.87,15.62,15.75,3681400,0.47
30/3/1993,15.75,16.13,15.5,16,1904400,0.48
31/3/1993,16.25,16.25,15.75,16.13,1660500,0.48
1/4/1993,15.87,16.25,15.75,16,710700,0.48
2/4/1993,16.25,16.25,15.75,16.25,951900,0.49
5/4/1993,16.25,16.25,15.75,16.13,220600,0.48
6/4/1993,16,16.13,15.75,15.75,437400,0.47
7/4/1993,16.13,16.13,15.75,16.13,683200,0.48
8/4/1993,16.13,16.25,15.75,16.25,473800,0.49
12/4/1993,16.25,16.25,15.87,15.87,93100,0.47
13/4/1993,16.25,17,16,16.5,1011300,0.49
14/4/1993,16.5,17.88,16.5,17.12,3093400,0.51
15/4/1993,17.25,17.25,16.25,16.5,1772100,0.49
16/4/1993,16.75,16.87,16.5,16.75,1031500,0.5
19/4/1993,16.75,16.75,16.13,16.25,835600,0.49
20/4/1993,16.25,16.25,15.75,16.25,1179900,0.49
21/4/1993,16,17.25,15.75,16.87,1582800,0.5
22/4/1993,17,18.25,16.75,17.75,1491700,0.53
23/4/1993,18.25,18.75,17.75,18.75,933700,0.56
26/4/1993,18.5,19.25,18,18.87,1760500,0.56
27/4/1993,18.87,19.75,18.63,19.75,1458000,0.59
28/4/1993,19.75,21.25,19.75,21,3950100,0.63
29/4/1993,21,21.25,19,20,4106800,0.6
30/4/1993,20.5,21.25,20,21.25,2608200,0.63
3/5/1993,21,21.5,21,21.5,897300,0.64
4/5/1993,21.25,21.5,20.5,20.5,806100,0.61
5/5/1993,20.5,21.25,20.5,20.75,512200,0.62
6/5/1993,21.25,21.25,20.75,21.25,77100,0.63
7/5/1993,21.25,22.5,21.25,22.25,947700,0.66
10/5/1993,22.25,23.5,22.25,23.5,2949700,0.7
11/5/1993,23.5,23.5,22.75,23.5,1423500,0.7
12/5/1993,23.5,23.5,23,23.5,926700,0.7
13/5/1993,23.5,23.5,22.25,22.25,1286700,0.66
14/5/1993,22.25,23,22.25,22.5,1163700,0.67
17/5/1993,22.5,23.5,22.5,23.25,297900,0.69
18/5/1993,23.5,24.25,23.5,24.25,965800,0.72
19/5/1993,24.25,24.25,23.75,23.75,1004400,0.71
20/5/1993,24.5,24.5,23.75,24,492000,0.72
21/5/1993,24.5,24.5,23.75,24.5,184200,0.73
24/5/1993,24.25,24.25,22.5,22.88,794700,0.68
25/5/1993,22.75,23,22.75,23,585100,0.69
26/5/1993,22.75,23.5,22.75,23.5,202500,0.7
27/5/1993,23.13,23.5,22.75,23.25,801900,0.69
28/5/1993,22.75,23.25,22.75,23.25,111300,0.69
1/6/1993,22.75,23.25,22.75,22.75,218700,0.68
2/6/1993,23.25,23.25,22.75,22.75,65700,0.68
3/6/1993,22.75,23.25,22.75,22.75,209400,0.68
4/6/1993,22.75,23.25,21,21.5,1357600,0.64
7/6/1993,21.5,22,21.25,22,1177300,0.66
8/6/1993,21.5,21.5,19.5,20.25,2519200,0.6
9/6/1993,21,21.5,20.25,21,1134100,0.63
10/6/1993,21,21.75,21,21.5,202500,0.64
11/6/1993,22.25,23.5,22,23.5,671500,0.7
14/6/1993,23.5,24.5,23,24.25,3587500,0.72
15/6/1993,24.5,24.75,24,24.5,1057000,0.73
16/6/1993,24.75,26.75,24.5,26.5,2473800,0.79
17/6/1993,26.25,26.5,26,26.5,2917900,0.79
18/6/1993,26,26.5,26,26.37,441600,0.79
21/6/1993,27,28.5,26.25,28,958600,0.84
22/6/1993,28.5,30.5,27.5,27.75,2223400,0.83
23/6/1993,29,29,28.25,29,2177700,0.87
24/6/1993,29,30.75,28,30,810900,0.9
25/6/1993,30.5,30.5,29.75,29.75,1394100,0.89
28/6/1993,29.88,30.25,29.75,29.75,382600,0.89
29/6/1993,30.25,30.25,29,29,348300,0.87
30/6/1993,28.5,29.25,28.5,29.25,104500,0.87
1/7/1993,28.5,29,28.5,28.5,124800,0.85
2/7/1993,29.25,29.25,28.25,29,760600,0.87
6/7/1993,28.25,29,28.25,28.25,163900,0.84
7/7/1993,29,29,28,28,373500,0.84
8/7/1993,28,28.75,28,28.75,446400,0.86
9/7/1993,28.75,28.75,28,28.5,432600,0.85
12/7/1993,29,29,28,28.75,692500,0.86
13/7/1993,28.75,28.75,28,28,817300,0.84
14/7/1993,29.75,31,28.88,30.25,11782300,0.9
15/7/1993,30.25,30.5,29,29.5,2544300,0.88
16/7/1993,29,29.5,27.25,27.5,2788300,0.82
19/7/1993,27.5,28,26.75,26.75,906400,0.8
20/7/1993,27.5,27.5,26.5,26.5,7733700,0.79
