Date,Open,High,Low,Close,Volume,Adj Close
18/10/2000,20,21.75,19.75,21.5,27891200,8.73
19/10/2000,22,24,21.62,24,3950200,9.75
20/10/2000,23.62,23.62,22,23.12,2456200,9.39
23/10/2000,23.12,23.12,21.62,22,1974600,8.93
24/10/2000,22,22.25,21,22.12,1375400,8.99
25/10/2000,22.12,23.25,22.12,22.94,1068600,9.32
26/10/2000,22.94,23.5,21.81,23.44,766800,9.52
27/10/2000,23.44,24,23.31,23.94,704200,9.72
30/10/2000,23.69,25.31,23.62,24.62,750200,10
31/10/2000,24.38,26,22.88,25.5,2295400,10.36
1/11/2000,25.25,25.25,23.62,23.75,612000,9.65
2/11/2000,23.62,23.62,22.62,23.06,640600,9.37
3/11/2000,23.25,23.25,22.56,22.94,437200,9.32
6/11/2000,23.12,24,23.12,23.31,400200,9.47
7/11/2000,23.19,23.25,22.38,23.25,256000,9.44
8/11/2000,23.25,23.25,22.88,23.06,209800,9.37
9/11/2000,22.94,23.38,22.88,23,302200,9.34
10/11/2000,22.81,22.81,22.25,22.5,311200,9.14
13/11/2000,22.38,22.94,22.19,22.56,341000,9.16
14/11/2000,23.12,23.44,22.81,23.44,444200,9.52
15/11/2000,24.25,24.44,24,24.38,792600,9.9
16/11/2000,24.12,24.25,23.75,23.81,457400,9.67
17/11/2000,23.69,24.25,23.62,24.12,647200,9.8
20/11/2000,24,24.12,23.19,23.31,631600,9.47
21/11/2000,23.56,23.56,23.06,23.12,291800,9.39
22/11/2000,22.88,23,22.5,22.81,332400,9.26
24/11/2000,23,23.69,23,23.44,59600,9.52
27/11/2000,23.56,23.62,23.19,23.56,282400,9.57
28/11/2000,23.5,24,23.5,23.88,462000,9.7
29/11/2000,23.88,25,23.88,25,277800,10.15
30/11/2000,24.75,25.12,24.25,25.06,1279800,10.18
1/12/2000,24.94,25.25,24.5,24.81,397800,10.08
4/12/2000,24.56,25.25,24.31,25.25,324200,10.25
5/12/2000,25.12,25.62,25,25.25,742800,10.25
6/12/2000,25.12,25.62,25,25.31,247000,10.28
7/12/2000,25.25,25.56,24.75,24.94,272600,10.13
8/12/2000,25.19,25.25,23.75,24.88,278600,10.1
11/12/2000,24.88,25.69,24.88,25.69,185800,10.43
12/12/2000,25.56,25.56,24.94,25.12,151000,10.2
13/12/2000,25.12,25.56,25.06,25.25,223000,10.25
14/12/2000,25.25,25.38,25.19,25.38,161400,10.31
15/12/2000,25.25,25.44,25.12,25.38,142600,10.31
18/12/2000,25.38,25.62,25.19,25.62,141600,10.41
19/12/2000,25.5,25.69,25.25,25.38,75800,10.31
20/12/2000,25.12,25.19,24.81,25.06,128800,10.18
21/12/2000,24.94,24.94,23.94,23.94,127800,9.72
22/12/2000,23.69,24.25,23.5,23.69,336200,9.62
26/12/2000,23.88,24.19,23.75,24.06,170000,9.77
27/12/2000,24.06,25.31,24.06,25.19,232800,10.23
28/12/2000,25.19,26.38,25,26.19,297600,10.64
29/12/2000,26.25,27.38,26.12,27.06,281000,10.99
2/1/2001,27.06,29.12,26.88,28.25,217600,11.47
3/1/2001,30.12,32.62,29,31.38,1912400,12.74
4/1/2001,31.25,31.75,30.5,30.5,1029400,12.42
5/1/2001,30.25,30.25,29,29.69,358600,12.09
8/1/2001,29.69,29.81,29.31,29.69,66000,12.09
9/1/2001,29.69,29.69,29.31,29.38,48400,11.96
10/1/2001,29.62,30.12,29.44,29.62,78000,12.07
11/1/2001,29.12,29.25,28.38,29.25,754400,11.91
12/1/2001,29,30,29,30,244600,12.22
16/1/2001,30.75,31.94,30.12,30.19,339400,12.3
