Date,Open,High,Low,Close,Volume,Adj Close
22/1/1999,21,23.44,18.62,19.69,67867200,1.57
25/1/1999,21.25,22,19.69,21.75,12762000,1.73
26/1/1999,22,22.44,19.75,20.06,8580000,1.6
27/1/1999,20.12,20.62,19,20,6109200,1.59
28/1/1999,20,20.12,19.81,19.94,5688000,1.59
29/1/1999,19.94,20,19,19,6100800,1.51
1/2/1999,19,19.5,19,19.37,3867600,1.54
2/2/1999,19,19.5,17.31,17.87,6602400,1.42
3/2/1999,17.62,18.5,17.5,18.25,1878000,1.45
4/2/1999,18.5,19.75,18.25,19.25,4548000,1.53
5/2/1999,19.56,20,19.06,19.81,3421200,1.58
8/2/1999,19.94,20,19.12,19.12,3852000,1.52
9/2/1999,19.5,19.63,18.13,18.38,2174400,1.46
10/2/1999,18.38,18.88,17.87,18.19,3705600,1.45
11/2/1999,18.25,20.5,18.25,19.75,3306000,1.57
12/2/1999,20,21,20,20.87,2743200,1.66
16/2/1999,21.25,22.12,18.88,21,5275200,1.67
17/2/1999,20.5,20.75,19.5,19.88,1693200,1.58
18/2/1999,20.5,20.75,19.63,20.19,1767600,1.61
19/2/1999,20,21.25,19.75,20.87,1884000,1.66
22/2/1999,21.25,21.5,19.88,21,5131200,1.67
23/2/1999,21.5,22.44,20.25,22,3452400,1.75
24/2/1999,25.25,26.25,23.19,23.75,15319200,1.89
25/2/1999,24.75,25.5,22.63,23,3728400,1.83
26/2/1999,23.25,24,21.75,21.94,4315200,1.75
1/3/1999,22.5,23,21,22.06,2304000,1.76
2/3/1999,22,22.12,21.5,21.88,1381200,1.74
3/3/1999,22,22,20.25,20.38,1534800,1.62
4/3/1999,21.38,21.5,19.75,19.94,1434000,1.59
5/3/1999,20.12,21.13,20.12,21.06,1969200,1.68
8/3/1999,20.5,22,20.12,21.38,1897200,1.7
9/3/1999,21.31,22.37,21.31,22.06,3579600,1.76
10/3/1999,22.37,22.37,21.38,21.69,5883600,1.73
11/3/1999,21.31,21.69,20.75,20.75,1357200,1.65
12/3/1999,20.87,20.87,20,20.38,2269200,1.62
15/3/1999,20.87,21.5,20.75,21.25,2720400,1.69
16/3/1999,21.38,21.62,20.38,20.56,1978800,1.64
17/3/1999,20.75,21.13,20.19,20.69,1284000,1.65
18/3/1999,20.75,21.25,20.25,20.94,1158000,1.67
19/3/1999,20.87,21.62,20.87,21,2632800,1.67
22/3/1999,21.44,21.5,20.38,20.38,916800,1.62
23/3/1999,20.5,20.5,18.75,19.12,4099200,1.52
24/3/1999,19,19.12,18.25,19,1521600,1.51
25/3/1999,18.94,20,18.88,19.25,1008000,1.53
26/3/1999,19.5,21,19.5,20.94,2206800,1.67
29/3/1999,21.56,22.06,21.19,21.56,1648800,1.72
30/3/1999,21.62,21.81,19.63,19.75,1737600,1.57
31/3/1999,20.38,21.38,19.44,21.13,3840000,1.68
1/4/1999,21.13,21.25,20.12,20.5,760800,1.63
5/4/1999,20.25,20.75,19.75,19.88,2466000,1.58
6/4/1999,20.06,20.12,19,19.37,1742400,1.54
7/4/1999,19.5,21.13,19.37,21,2232000,1.67
8/4/1999,21.13,22,20.87,21.38,3253200,1.7
9/4/1999,21.5,21.5,20.87,21,1215600,1.67
12/4/1999,20.75,20.75,19.75,20.12,832800,1.6
13/4/1999,20.5,20.5,19,19.31,903600,1.54
14/4/1999,19.25,19.69,18.75,18.75,1207200,1.49
15/4/1999,19.25,19.25,18.75,19.25,896400,1.53
16/4/1999,19.12,20.19,19.12,19.88,973200,1.58
19/4/1999,20.12,20.12,18.75,19,782400,1.51
20/4/1999,19,19.75,18.44,18.62,1692000,1.48
21/4/1999,18.62,19,18.5,18.94,937200,1.51
22/4/1999,19,19,17.94,18.13,5679600,1.44
23/4/1999,18.06,18.13,17.12,17.25,3151200,1.37
26/4/1999,17.25,17.5,16,16.37,3087600,1.3
27/4/1999,16.75,18.25,16.5,18.13,5673600,1.44
28/4/1999,18.25,18.25,17.44,18,3002400,1.43
29/4/1999,18.06,18.13,17.62,18,1203600,1.43
30/4/1999,18.19,19,18.06,18.25,2482800,1.45
3/5/1999,18.44,18.44,17.87,18.38,846000,1.46
4/5/1999,18.38,18.38,17,17.38,2401200,1.38
5/5/1999,17.5,17.75,16.5,17.75,3614400,1.41
6/5/1999,17.62,18,16.88,17.41,890400,1.39
7/5/1999,16.88,17.62,16.88,17.5,625200,1.39
10/5/1999,17.38,17.87,17.38,17.5,492000,1.39
11/5/1999,18.25,19,17.87,18.44,4293600,1.47
12/5/1999,18.62,19.06,18.38,19,4212000,1.51
13/5/1999,19,19.5,18.94,19,1748400,1.51
14/5/1999,19,19,17.75,18,711600,1.43
17/5/1999,17.75,18.88,17.69,18.88,894000,1.5
18/5/1999,19.06,20,18.5,19.75,3788400,1.57
19/5/1999,20.62,21.38,18.56,18.88,11293200,1.5
20/5/1999,19,19,16.69,17.38,4454400,1.38
21/5/1999,17.12,17.12,16.5,17,7587600,1.35
24/5/1999,17.12,17.5,16.69,16.94,4065600,1.35
25/5/1999,17,17.25,16.88,17.06,3252000,1.36
26/5/1999,17,17.87,17,17,2618400,1.35
27/5/1999,17.12,17.12,16.88,16.88,2058000,1.34
28/5/1999,17.12,17.12,16.88,17.06,2216400,1.36
1/6/1999,17,17.12,16.75,17.12,2463600,1.36
2/6/1999,17.12,17.12,16.5,16.5,3253200,1.31
3/6/1999,16.94,17.06,16.75,16.94,1039200,1.35
4/6/1999,17.06,17.12,16.94,17.06,1972800,1.36
7/6/1999,17.16,17.5,17.12,17.25,3128400,1.37
8/6/1999,17.31,18,17.25,17.69,3832800,1.41
9/6/1999,17.75,18.38,17.75,18,2379600,1.43
10/6/1999,18,18.13,17.87,18.06,902400,1.44
11/6/1999,18.06,18.13,17.06,17.69,1525200,1.41
14/6/1999,17.72,17.75,16.88,17,1291200,1.35
15/6/1999,17,17.12,16.75,17,1232400,1.35
16/6/1999,17.25,18,17,17.5,1610400,1.39
17/6/1999,17.38,17.62,17,17,1873200,1.35
18/6/1999,17.12,17.12,16.37,16.37,3968400,1.3
