Date,Open,High,Low,Close,Volume,Adj Close
12/3/1986,20.5,20.75,20.5,20.5,392979600,0.06
13/3/1986,21,21.25,21,21,125290800,0.06
14/3/1986,21.75,22,21.75,21.75,57866400,0.06
17/3/1986,21.5,21.5,21.25,21.25,28285200,0.06
18/3/1986,21,21,20.75,20.75,32335200,0.06
19/3/1986,20.75,20.75,20.25,20.25,22712400,0.06
20/3/1986,20.25,20.5,20.25,20.25,17787600,0.06
21/3/1986,20,20,19.5,19.5,16232400,0.06
24/3/1986,19.5,19.75,19.5,19.5,20736000,0.06
25/3/1986,19.5,19.75,19.5,19.5,21675600,0.06
26/3/1986,19.75,20.25,19.75,19.75,23328000,0.06
27/3/1986,20.5,21,20.5,20.5,21513600,0.06
31/3/1986,20.75,21,20.75,20.75,9882000,0.06
1/4/1986,20,20,19.75,19.75,20314800,0.06
2/4/1986,19.75,20,19.5,19.5,12960000,0.06
3/4/1986,20.25,20.75,20.25,20.25,11955600,0.06
4/4/1986,20.25,20.5,20,20,10659600,0.06
7/4/1986,20.25,20.5,20.25,20.25,9007200,0.06
8/4/1986,20.25,20.75,20.25,20.25,15001200,0.06
9/4/1986,20.25,20.5,20.25,20.25,8942400,0.06
10/4/1986,20.25,20.5,20.25,20.25,9428400,0.06
11/4/1986,20.75,21,20.75,20.75,18273600,0.06
14/4/1986,20.75,21,20.75,20.75,46785600,0.06
15/4/1986,20.75,21,20.75,21,12020400,0.06
16/4/1986,21,22,20.75,22,22550400,0.06
17/4/1986,22,24,22,24,19699200,0.07
18/4/1986,24,26.5,24,26,27799200,0.08
21/4/1986,26,28.87,25.75,28.5,33534000,0.08
22/4/1986,28.5,28.5,26.75,27,38264400,0.08
23/4/1986,27,27,26.25,26.25,4114800,0.08
24/4/1986,26.25,26.75,26.25,26.75,10789200,0.08
25/4/1986,26.75,27.25,26.75,27.25,4633200,0.08
28/4/1986,27.25,28,27.25,27.5,46008000,0.08
29/4/1986,27.5,27.75,27,27.25,2786400,0.08
30/4/1986,26.75,26.75,25,25,9720000,0.07
1/5/1986,25,25.75,25,25.5,21546000,0.07
2/5/1986,25.5,25.75,24,24,10627200,0.07
5/5/1986,24,24.5,24,24.5,4924800,0.07
6/5/1986,24.5,25.25,24,25.25,7257600,0.07
7/5/1986,25.25,25.75,25.25,25.75,11826000,0.08
8/5/1986,25.75,26.5,25.5,26,21254400,0.08
9/5/1986,26,26.5,26,26.5,7581600,0.08
12/5/1986,26.5,26.5,26,26.25,11404800,0.08
13/5/1986,26.25,27,26,27,35510400,0.08
14/5/1986,27,27,26.25,26.25,2559600,0.08
15/5/1986,26.25,26.75,26.25,26.75,939600,0.08
16/5/1986,26.75,27,26.5,27,3985200,0.08
19/5/1986,27,27,25.5,25.5,8974800,0.07
20/5/1986,25.5,26,25.5,25.5,4438800,0.07
21/5/1986,25.5,25.75,25.5,25.75,874800,0.08
22/5/1986,25.75,25.75,24.75,25,11599200,0.07
23/5/1986,25,25.25,24.5,24.5,4600800,0.07
27/5/1986,24.5,25,24.25,24.75,2430000,0.07
28/5/1986,24.75,24.75,24.25,24.75,1198800,0.07
29/5/1986,24.25,24.25,23.75,23.75,5086800,0.07
30/5/1986,23.75,24.25,23.25,23.5,20574000,0.07
2/6/1986,23.5,23.5,22.25,22.75,8845200,0.07
3/6/1986,22.75,23.38,21,23.38,62175600,0.07
4/6/1986,23.38,23.5,23,23.5,22582800,0.07
5/6/1986,23.5,26,23,25,28447200,0.07
6/6/1986,25,25.5,25,25,4341600,0.07
9/6/1986,25,25.25,24,24.75,6091200,0.07
10/6/1986,24.75,24.75,23.75,24.25,17917200,0.07
11/6/1986,24.25,25,24.25,25,10432800,0.07
12/6/1986,25,25.13,24.75,24.75,12700800,0.07
13/6/1986,24.75,25.5,24.75,25,19213200,0.07
16/6/1986,25,25.25,24.75,24.75,5378400,0.07
17/6/1986,24.75,25.13,24.25,24.5,18500400,0.07
18/6/1986,24.5,24.75,24.25,24.25,8164800,0.07
19/6/1986,24.25,24.75,24.25,24.62,5670000,0.07
20/6/1986,24.62,24.75,24.13,24.25,21384000,0.07
23/6/1986,24.25,24.75,24,24.75,18079200,0.07
24/6/1986,24.75,24.75,24,24.75,10659600,0.07
25/6/1986,24.75,24.75,24.5,24.5,550800,0.07
26/6/1986,24.5,25,24,24.75,5670000,0.07
27/6/1986,24.75,24.75,24.25,24.25,13867200,0.07
30/6/1986,24.25,24.75,24.25,24.37,7549200,0.07
1/7/1986,24.37,24.75,24.25,24.75,2721600,0.07
2/7/1986,24.75,24.75,24.25,24.25,972000,0.07
3/7/1986,24.25,24.75,24.25,24.25,4050000,0.07
7/7/1986,24.25,24.75,23.75,24,10303200,0.07
8/7/1986,24,24,23.75,23.75,6577200,0.07
9/7/1986,23.75,24,23.75,24,3304800,0.07
10/7/1986,24,24.5,24,24,2170800,0.07
11/7/1986,24,24.5,23.75,23.75,5605200,0.07
14/7/1986,23.75,24.25,23.5,24.25,19083600,0.07
15/7/1986,23.75,23.75,21.25,21.5,30747600,0.06
16/7/1986,21,21,17.25,17.75,112492800,0.05
17/7/1986,18,19.5,18,19,131900400,0.06
18/7/1986,19,19.25,18.5,18.75,20379600,0.05
21/7/1986,18.75,18.75,18.25,18.5,8910000,0.05
22/7/1986,18.5,18.5,18,18,8067600,0.05
23/7/1986,18,18.25,17.75,17.75,7776000,0.05
24/7/1986,17.75,18,16.5,16.75,16783200,0.05
25/7/1986,16.5,16.5,15.75,16.5,8618400,0.05
28/7/1986,16.25,16.25,15.5,16.25,7192800,0.05
29/7/1986,16.25,16.25,15.5,15.88,28609200,0.05
30/7/1986,15.88,16,15.5,16,9169200,0.05
31/7/1986,16,16,15.5,15.5,3078000,0.05
1/8/1986,15.5,16,15.5,15.5,5896800,0.05
