Date,Open,High,Low,Close,Volume,Adj Close
16/12/1991,16.75,19,16.75,18,143667200,0.47
17/12/1991,18.5,18.5,17.5,17.75,16176000,0.46
18/12/1991,17.75,18.25,17.75,18.25,10899200,0.47
19/12/1991,18.25,18.25,17.5,17.5,7299200,0.45
20/12/1991,17.5,18.25,17.5,18,5235200,0.47
23/12/1991,18.25,18.25,17.5,17.87,7894400,0.46
24/12/1991,17.62,19.25,17.5,19.25,7129600,0.5
26/12/1991,18.75,22,18.75,22,8672000,0.57
27/12/1991,22.25,22.25,20.75,21.25,6396800,0.55
30/12/1991,21.25,21.75,20.75,21.75,6627200,0.56
31/12/1991,21.75,25,21.5,24.75,12572800,0.64
2/1/1992,24.75,27.75,24.5,27.62,22121600,0.72
3/1/1992,27.75,28.5,27,28,6092800,0.72
6/1/1992,28.75,28.75,24.25,26.25,15987200,0.68
7/1/1992,26,26.75,25.25,25.5,4940800,0.66
8/1/1992,25.75,25.75,21.75,22.5,36828800,0.58
9/1/1992,23.25,24.75,23,24.75,20809600,0.64
10/1/1992,25,25.25,23.25,24,7961600,0.62
13/1/1992,24.5,26.75,23.75,26,8499200,0.67
14/1/1992,26.75,26.75,25.75,26.25,3628800,0.68
15/1/1992,26.75,27.25,26,26.5,5910400,0.69
16/1/1992,26.75,27,24.75,25.75,3654400,0.67
17/1/1992,25.25,26,25.25,25.25,1574400,0.65
20/1/1992,25,25.5,23.75,25,3350400,0.65
21/1/1992,25.5,25.5,23.5,24,3724800,0.62
22/1/1992,24,25,23.5,25,5132800,0.65
23/1/1992,25.5,25.5,23.5,23.5,3248000,0.61
24/1/1992,23.5,24.25,23.5,23.75,355200,0.61
27/1/1992,24.25,24.25,22.75,23.25,2675200,0.6
28/1/1992,23.25,23.25,22,22.5,3673600,0.58
29/1/1992,22.75,23.5,22,23,1702400,0.6
30/1/1992,22.75,24.5,22.75,23.75,2505600,0.61
31/1/1992,23.75,24,23.5,24,1702400,0.62
3/2/1992,24,25.75,23.75,24.62,2611200,0.64
4/2/1992,24.75,25.75,24.25,25,4233600,0.65
5/2/1992,24.75,25.25,24.75,24.75,3280000,0.64
6/2/1992,25.5,25.5,24.25,24.25,7232000,0.63
7/2/1992,25,25,21.75,23.5,8979200,0.61
10/2/1992,22.75,23.5,22,22.5,4940800,0.58
11/2/1992,22.75,23.5,22.25,22.75,1667200,0.59
12/2/1992,22.75,24.75,22.25,24,3603200,0.62
13/2/1992,24.5,24.5,22.75,22.75,1398400,0.59
14/2/1992,23.25,23.25,22.5,23.25,2825600,0.6
18/2/1992,23.25,23.25,22.25,22.75,1078400,0.59
19/2/1992,22,22.75,21.75,22,1408000,0.57
20/2/1992,22,23.25,22,23.25,5705600,0.6
21/2/1992,22.5,23.25,21,21,3836800,0.54
24/2/1992,21,21.75,18.5,19.62,12384000,0.51
25/2/1992,20.25,20.75,19.25,20,3513600,0.52
26/2/1992,21,21,20,20.75,3200000,0.54
27/2/1992,20.75,20.75,19.5,20.25,1209600,0.52
28/2/1992,20.5,20.75,19.75,20.5,3011200,0.53
2/3/1992,20.5,20.75,19.75,20.5,1257600,0.53
3/3/1992,20.75,21.25,19.75,19.75,4022400,0.51
4/3/1992,20,20,19.5,19.5,5580800,0.5
5/3/1992,19.75,19.75,18.75,19,1920000,0.49
6/3/1992,19.5,19.5,17.5,18.5,6329600,0.48
9/3/1992,18.75,18.75,17.5,18.5,2809600,0.48
10/3/1992,18.75,19.75,18.5,19.75,1900800,0.51
11/3/1992,19.75,20,18.25,18.5,5577600,0.48
12/3/1992,18.75,19.75,18.25,19.25,1644800,0.5
13/3/1992,19,20,18.75,19.25,4976000,0.5
16/3/1992,19.25,19.25,18.5,18.5,739200,0.48
17/3/1992,18.75,19.5,18.75,18.75,1865600,0.49
18/3/1992,19.75,20.75,19.5,20.38,3753600,0.53
19/3/1992,20.5,21.75,20,21.75,6108800,0.56
20/3/1992,22,23.25,22,22.25,5392000,0.58
23/3/1992,22.75,23,21.25,21.5,5219200,0.56
24/3/1992,22.25,22.5,21.25,21.5,5760000,0.56
25/3/1992,22,22.25,21.5,22,3718400,0.57
26/3/1992,22.5,22.5,21.75,22.25,2089600,0.58
27/3/1992,21.75,22.25,21.5,21.5,1456000,0.56
30/3/1992,21.5,22.25,20.75,21.5,2339200,0.56
31/3/1992,20.75,23.25,19.75,23,5353600,0.6
1/4/1992,21.5,23,21.5,21.87,3868800,0.57
2/4/1992,22.25,22.25,19.5,20.75,2947200,0.54
3/4/1992,20.25,22,20.25,20.75,3414400,0.54
6/4/1992,21,21.25,20.25,21.13,2742400,0.55
7/4/1992,21.75,22,21,21.25,2579200,0.55
8/4/1992,20.75,22,20.75,21.25,3123200,0.55
9/4/1992,21.25,21.5,20.62,21,4313600,0.54
10/4/1992,21.5,21.5,21,21.5,592000,0.56
13/4/1992,21.5,22.25,21,22,2115200,0.57
14/4/1992,22.25,23.25,22,22.5,1955200,0.58
