Date,Open,High,Low,Close,Volume,Adj Close
26/7/1974,6.5,6.88,6.5,6.5,311600,1.79
29/7/1974,6.5,6.5,5.75,5.75,1028000,1.58
30/7/1974,5.75,5.87,5.75,5.87,990600,1.62
31/7/1974,6,6.37,6,6.37,89200,1.75
1/8/1974,6.37,6.62,6.25,6.37,320000,1.75
2/8/1974,6.37,6.37,6,6.25,232400,1.72
5/8/1974,6,6,5.75,6,165000,1.65
6/8/1974,6,6.37,6,6.25,88600,1.72
7/8/1974,6.25,6.37,6.25,6.37,54400,1.75
8/8/1974,6.37,6.37,6.25,6.37,238600,1.75
9/8/1974,6.37,6.37,6,6.25,115600,1.72
12/8/1974,6.25,6.37,6,6.25,174200,1.72
13/8/1974,6.25,6.25,5.87,6,277200,1.65
14/8/1974,5.87,5.87,5.75,5.75,223200,1.58
15/8/1974,5.75,5.87,5.75,5.87,334800,1.62
16/8/1974,6,6.25,6,6,229200,1.65
19/8/1974,6,6.25,5.87,6,237600,1.65
20/8/1974,6,6,5.75,5.87,288200,1.62
21/8/1974,5.87,5.87,5.62,5.62,198400,1.55
22/8/1974,5.62,5.75,5.62,5.75,163800,1.58
23/8/1974,5.75,5.87,5.75,5.75,537400,1.58
26/8/1974,5.75,5.87,5.75,5.87,209000,1.62
27/8/1974,5.87,5.87,5.75,5.75,420200,1.58
28/8/1974,5.75,5.75,5.75,5.75,322200,1.58
29/8/1974,5.75,5.75,5.75,5.75,169600,1.58
30/8/1974,5.87,6.25,5.87,6.25,283200,1.72
3/9/1974,6.25,6.37,6,6,90200,1.65
4/9/1974,6,6,5.75,5.75,241400,1.58
5/9/1974,6,6.37,6,6.37,317800,1.75
6/9/1974,6.25,6.25,6,6.25,133600,1.72
9/9/1974,6,6,5.87,5.87,90200,1.62
10/9/1974,5.87,6,5.75,6,59600,1.65
11/9/1974,6,6,5.75,6,374400,1.65
12/9/1974,5.87,5.87,5.62,5.75,852600,1.58
13/9/1974,5.75,5.75,5.62,5.75,101200,1.58
16/9/1974,5.75,5.75,5.62,5.62,477600,1.55
17/9/1974,5.62,5.75,5.62,5.75,144600,1.58
18/9/1974,5.75,5.75,5.62,5.75,132200,1.58
19/9/1974,5.75,5.87,5.75,5.87,207200,1.62
20/9/1974,5.75,5.75,5.75,5.75,141000,1.58
23/9/1974,5.75,5.75,5.75,5.75,76400,1.58
24/9/1974,5.75,5.87,5.75,5.87,43400,1.62
25/9/1974,5.87,5.87,5.75,5.75,229000,1.58
26/9/1974,5.75,5.75,5.62,5.75,172800,1.58
27/9/1974,5.75,5.75,5.62,5.75,147600,1.58
30/9/1974,5.62,5.62,5.25,5.62,198400,1.55
1/10/1974,5.62,5.62,5.25,5.38,182800,1.48
2/10/1974,5.38,5.62,5.38,5.62,137400,1.55
3/10/1974,5.38,5.38,5.13,5.13,376800,1.41
4/10/1974,5.13,5.13,5,5.13,245800,1.41
7/10/1974,5.13,5.25,5,5.25,100200,1.44
8/10/1974,5.25,5.25,5.13,5.25,106200,1.44
9/10/1974,5.25,5.38,5.13,5.38,708400,1.48
10/10/1974,5.38,5.62,5.13,5.25,208400,1.44
11/10/1974,5.25,5.38,5.25,5.38,347000,1.48
