Date,Open,High,Low,Close,Volume,Adj Close
8/12/1994,22.25,22.38,22.25,22.25,41167800,2.66
9/12/1994,22.25,22.25,21.87,22,2685000,2.63
12/12/1994,22,22.25,22,22.25,928200,2.66
13/12/1994,22.25,22.25,21.75,21.75,992400,2.6
14/12/1994,21.75,21.75,21.63,21.75,700800,2.6
15/12/1994,21.63,21.75,21.63,21.63,1671600,2.59
16/12/1994,21.75,21.87,21.63,21.87,1111800,2.62
19/12/1994,21.87,21.87,21.63,21.75,284400,2.6
20/12/1994,21.75,21.87,21.75,21.87,930000,2.62
21/12/1994,21.75,22.12,21.75,22,264000,2.63
22/12/1994,22,22,21.87,22,294000,2.63
23/12/1994,22,22,21.87,22,67800,2.63
27/12/1994,22.25,22.38,22.12,22.38,1027200,2.68
28/12/1994,22.38,22.38,22.25,22.25,486000,2.66
29/12/1994,22.38,22.38,22.25,22.38,39000,2.68
30/12/1994,22.38,22.75,22.25,22.75,258000,2.72
3/1/1995,22.75,23.37,22.5,23.37,1914000,2.8
4/1/1995,23.75,24.75,23.75,24.25,1012800,2.9
5/1/1995,24.25,24.5,24.25,24.5,981000,2.93
6/1/1995,24.5,24.87,24.5,24.75,261600,2.96
9/1/1995,25.5,26.25,25.38,26.25,660000,3.14
10/1/1995,26.75,26.75,26.25,26.37,618000,3.16
11/1/1995,26.5,26.88,25.75,25.75,2096400,3.08
12/1/1995,25.5,25.88,25.5,25.75,468600,3.08
13/1/1995,25.75,25.75,25.38,25.62,472200,3.07
16/1/1995,26,26.37,25.88,26.37,241800,3.16
17/1/1995,26.5,26.5,25.88,26.5,910200,3.17
18/1/1995,26.62,26.75,26.5,26.62,222000,3.19
19/1/1995,26.75,26.75,26.25,26.25,1236000,3.14
20/1/1995,26.25,26.25,25.5,25.5,768600,3.05
23/1/1995,24.75,24.75,24.5,24.63,258000,2.95
24/1/1995,24.87,25.12,24.75,25.12,28800,3.01
25/1/1995,25,25.38,25,25.38,58200,3.04
26/1/1995,25.25,25.25,24.87,25.25,483000,3.02
27/1/1995,25.12,25.38,25.12,25.38,237600,3.04
30/1/1995,25.12,25.25,25,25.25,65400,3.02
31/1/1995,25.25,25.25,24.87,24.87,870600,2.98
1/2/1995,25,25.25,25,25.12,174600,3.01
2/2/1995,25.12,25.12,25,25.12,211200,3.01
3/2/1995,25,25.38,25,25.25,324000,3.02
6/2/1995,25.38,25.62,25.25,25.25,226200,3.02
7/2/1995,25.38,25.62,24.87,25.12,429000,3.01
8/2/1995,25.25,25.38,25,25.38,257400,3.04
9/2/1995,25.62,25.75,25.5,25.62,664800,3.07
10/2/1995,25.5,26.37,25.5,26.25,356400,3.14
13/2/1995,26.37,26.37,26.13,26.13,871800,3.13
14/2/1995,26.13,26.13,25.75,25.75,355800,3.08
15/2/1995,25.75,25.75,25.5,25.5,90600,3.05
16/2/1995,25.5,25.5,25.25,25.25,2152200,3.02
17/2/1995,25.38,25.5,25.38,25.5,20400,3.05
21/2/1995,25.75,25.75,25.25,25.38,36600,3.04
22/2/1995,25.25,25.38,25.12,25.38,67200,3.04
23/2/1995,25.38,25.5,25.25,25.38,418200,3.04
24/2/1995,25.25,25.25,25,25,1424400,2.99
27/2/1995,25,25,24.75,24.75,526800,2.96
28/2/1995,24.75,25,24.75,25,160800,2.99
1/3/1995,24.87,26,24.87,25.88,360000,3.1
2/3/1995,26,30.75,26,30.38,3111600,3.64
3/3/1995,29.88,29.88,28.75,29.62,2610000,3.55
6/3/1995,29.5,32,29.5,31.25,1294800,3.74
