Date,Open,High,Low,Close,Volume,Adj Close
1/6/1972,163.22,163.63,162.25,163.37,825600,0.94
2/6/1972,165.12,166.75,165.12,166.37,2496000,0.96
5/6/1972,166.37,168.25,166,166.63,960000,0.96
6/6/1972,166.63,167,159.62,159.62,1824000,0.92
7/6/1972,159.62,160.37,159,159,604800,0.92
8/6/1972,159,161,158.88,159.25,1180800,0.92
9/6/1972,159.25,159.5,157.25,158.5,451200,0.91
12/6/1972,159.12,159.62,159.12,159.5,153600,0.92
13/6/1972,160.25,166.13,160.25,166.13,700800,0.96
14/6/1972,167,169.75,167,169,787200,0.97
15/6/1972,169,171,168.25,168.87,787200,0.97
16/6/1972,168.38,168.38,166.25,167.75,576000,0.97
19/6/1972,167.13,167.13,166,167,720000,0.96
20/6/1972,168.25,169.75,168.25,169.75,460800,0.98
21/6/1972,169.75,171.25,168.75,168.75,1872000,0.97
22/6/1972,168.75,169,168,168.87,604800,0.97
23/6/1972,169.25,170.88,169.25,170.75,787200,0.98
26/6/1972,170.5,170.5,169.63,170.5,470400,0.98
27/6/1972,170.5,171,168,169.25,1008000,0.97
28/6/1972,169,169,168,168,57600,0.97
29/6/1972,166.63,166.63,165.5,165.75,326400,0.95
30/6/1972,166.37,169.75,166.37,168.75,441600,0.97
3/7/1972,168.5,168.5,167.5,168,422400,0.97
5/7/1972,168,174.5,167.75,173.25,1065600,1
6/7/1972,174,175.75,174,175.5,1008000,1.01
7/7/1972,175.5,178,175.25,178,1094400,1.03
10/7/1972,177.25,177.25,174,174,1344000,1
11/7/1972,174,175.37,173.25,174,739200,1
12/7/1972,174,175.37,173,173,604800,1
13/7/1972,173,173,171.25,171.75,422400,0.99
14/7/1972,172,173.38,172,172,364800,0.99
17/7/1972,172,172,167.25,167.25,547200,0.96
18/7/1972,166.25,166.25,162.75,164.88,1161600,0.95
19/7/1972,166.5,169.25,166.5,167.5,1219200,0.97
20/7/1972,167.13,167.13,166,166,643200,0.96
21/7/1972,166,169.87,165.62,169.87,1420800,0.98
24/7/1972,171.62,175.5,171.62,174.75,2448000,1.01
25/7/1972,174.75,174.75,173.62,174.38,316800,1.01
26/7/1972,174.38,176,174.25,176,806400,1.02
27/7/1972,176,177.38,175.25,175.5,700800,1.01
28/7/1972,174.75,174.75,173.13,173.25,355200,1
31/7/1972,173.25,173.75,171,171.62,902400,0.99
1/8/1972,171.62,174.75,171.38,174.75,1843200,1.01
2/8/1972,175.25,176.75,175.25,176.75,1286400,1.02
3/8/1972,176.75,177.75,176,177.38,662400,1.02
4/8/1972,178,182,178,181.5,902400,1.05
7/8/1972,181.5,184.5,181,184.5,700800,1.06
8/8/1972,184.5,186.25,182.25,186.25,1123200,1.07
9/8/1972,186.25,190,185.88,189.12,2054400,1.09
10/8/1972,189.12,189.38,188.25,189,547200,1.09
11/8/1972,188.38,188.38,186.75,188.38,297600,1.09
14/8/1972,188.25,188.25,184,184,499200,1.06
15/8/1972,184,185.5,180,180,5212800,1.04
16/8/1972,180,180.5,177.25,177.5,844800,1.02
17/8/1972,177.5,178.5,176,176,518400,1.02
18/8/1972,176.5,177.87,176.5,177.62,134400,1.02
21/8/1972,177.38,177.38,173.62,173.88,796800,1
22/8/1972,173.88,174,173,173.13,2409600,1
23/8/1972,173.13,174.75,173.13,173.13,384000,1
24/8/1972,173.13,173.5,173.13,173.13,499200,1
25/8/1972,173.25,175,173.25,174.5,960000,1.01
