Date,Open,High,Low,Close,Volume,Adj Close
16/12/2011,11,11.5,9,9.5,116817000,9.5
19/12/2011,9.5,9.6,8.75,9.05,18394000,9.05
20/12/2011,9.15,9.38,9.08,9.24,8358800,9.24
21/12/2011,9.24,9.57,9.15,9.47,5069400,9.47
22/12/2011,9.65,9.65,9.25,9.47,2986200,9.47
23/12/2011,9.43,9.47,9.27,9.39,2655300,9.39
27/12/2011,9.34,9.82,9.32,9.75,3238500,9.75
28/12/2011,9.82,9.82,9.39,9.5,2270000,9.5
29/12/2011,9.43,9.57,9.32,9.37,2512100,9.37
30/12/2011,9.29,9.43,9.19,9.41,5522300,9.41
3/1/2012,9.52,9.64,9.4,9.45,3995400,9.45
4/1/2012,9.49,9.49,9.12,9.19,4299400,9.19
5/1/2012,9.1,9.15,8.82,8.91,9716100,8.91
6/1/2012,8.93,8.99,8.45,8.81,8445200,8.81
9/1/2012,8.53,8.61,7.97,8,9779100,8
10/1/2012,8.11,8.59,8.06,8.53,4884800,8.53
11/1/2012,8.55,8.57,8.21,8.33,3101900,8.33
12/1/2012,8.33,8.46,8.24,8.45,2936800,8.45
13/1/2012,8.43,8.99,8.35,8.87,5033500,8.87
17/1/2012,9.1,9.4,8.93,9.22,4855100,9.22
18/1/2012,9.2,9.2,8.52,8.65,6548100,8.65
19/1/2012,8.75,8.75,8.5,8.53,3957200,8.53
20/1/2012,8.7,9.19,8.55,9.09,6336600,9.09
23/1/2012,9.15,9.19,8.75,9.12,4710700,9.12
24/1/2012,9.03,9.9,9.01,9.71,11583500,9.71
25/1/2012,9.96,10,9.48,9.53,7969200,9.53
26/1/2012,9.73,9.73,9.2,9.52,5480800,9.52
27/1/2012,9.45,10.25,9.4,10.05,14881400,10.05
30/1/2012,10.02,10.51,10.02,10.39,12114300,10.39
31/1/2012,10.54,10.64,10.1,10.49,6949500,10.49
1/2/2012,10.63,10.65,10.39,10.6,6345400,10.6
2/2/2012,11.05,12.91,10.84,12.39,59164300,12.39
3/2/2012,12.97,14.44,12.75,13.39,55723600,13.39
6/2/2012,13.56,14,12.49,12.77,29648100,12.77
7/2/2012,12.92,13.4,12.5,13.31,16662800,13.31
8/2/2012,13.06,13.77,12.9,13.69,15440100,13.69
